"Config","Variance","Benchmarks","Missing"
"ETH:HDD:12: 10:1: 65536:None:128:Local 1",6098332.98214286,8,"hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1: 65536:Snappy:  0:Local 1",5882100.91666667,4,"bayes,hivebench_agregation,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:1: 65536:Snappy:256:Local 1",5835560.57142857,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:1: 65536:Snappy:256:Local 1",5772274.9047619,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:1: 65536:BZIP2:  0:Local 1",5480008.33333333,3,"bayes,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:1: 65536:BZIP2:256:Local 1",5149139.80952381,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 10:1: 65536:ZLIB:128:Local 1",5086763.14285714,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:1: 65536:Snappy:  0:Local 1",4997791,3,"bayes,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:1: 65536:Snappy:128:Local 1",4957119.23809524,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:1: 65536:BZIP2: 32:Local 1",4758837.14285714,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:1: 65536:None: 64:Local 1",4661979.71428571,8,"hivebench_agregation,hivebench_join"
"ETH:HDD:16: 10:2: 65536:None: 64:Local 1",4545051.5,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:16: 10:3: 65536:ZLIB: 64:Local 1",4480696.4,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:1: 65536:ZLIB: 32:Local 1",4479571.80952381,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 10:1: 65536:BZIP2: 32:Local 1",4416774.95238095,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:1: 65536:Snappy:128:Local 1",4351866.23809524,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:1: 65536:None: 32:Local 1",4347438.28571429,8,"hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:1: 65536:Snappy: 64:Local 1",4269225.95238095,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 10:1: 65536:None: 64:Local 1",4248608.71111111,10,""
"ETH:HDD:12: 10:1: 65536:ZLIB:256:Local 1",4132748.47619048,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 10:1: 65536:ZLIB:  0:Local 1",4085709.94444444,9,"sort"
"IB:HDD:16: 10:3: 65536:None: 64:Local 1",4059675.46666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:3: 65536:ZLIB: 64:Local 1",3985028.8,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:1: 65536:Snappy: 64:Local 1",3942589.47619048,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:24: 10:3: 65536:ZLIB: 64:Local 1",3903530.16666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:16: 10:2: 65536:ZLIB: 64:Local 1",3792797.36666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:1: 65536:None: 32:Local 1",3780802.1,10,""
"ETH:HDD:16: 10:1: 65536:None: 64:Local 1",3679660.7,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:3: 65536:ZLIB: 64:Local 1",3609965.46666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:1: 65536:ZLIB:  0:Local 1",3604182.21428571,8,"hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3: 65536:None: 64:Local 1",3581324.80952381,7,"dfsioe_read,hivebench_agregation,hivebench_join"
"IB:HDD:12: 20:1: 65536:None:256:Local 1",3579499.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1: 65536:None:256:Local 1",3505870,4,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 20:1: 65536:None:128:Local 1",3483951.33333333,4,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,wordcount"
"ETH:HDD:12: 10:1: 65536:BZIP2: 64:Local 1",3475595.47619048,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:16: 10:3: 65536:None: 64:Local 1",3467158.66666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:1: 65536:ZLIB:256:Local 1",3428983.66666667,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 20:3:131072:None: 32:Local 1",3421945.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:16: 10:2: 65536:ZLIB: 64:Local 1",3410581.5,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:1: 65536:ZLIB:128:Local 1",3396879.61904762,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 10:1: 65536:BZIP2: 64:Local 1",3375271.95238095,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 10:3: 65536:None: 64:Local 1",3363529.7,5,"bayes,dfsioe_read,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:1: 65536:BZIP2:256:Local 1",3341349.57142857,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 20:3: 32768:None: 64:Local 1",3328295.06666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:16: 10:3: 65536:ZLIB: 64:Local 1",3295146.96666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:3: 65536:None:128:Local 1",3273912.7,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:2: 65536:None: 64:Local 1",3156391.2,5,"bayes,dfsioe_read,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 10:1: 65536:Snappy: 32:Local 1",3138161.95238095,7,"hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 10:1: 32768:None: 32:Local 1",3130999.46666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:16: 10:1: 65536:None: 64:Local 1",3049339.86666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 50:1:131072:None:128:Local 1",2966002.4,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3: 65536:None:256:Local 1",2958229,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 20:3: 32768:None:256:Local 1",2951288.7,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1: 65536:Snappy: 32:Local 1",2946557.33333333,7,"hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:2: 65536:ZLIB: 64:Local 1",2943051.6,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
