"Config","Variance","Benchmarks","Missing"
"ETH:RL2: 8: 10:3: 65536:BZIP2:256:Azure L",1604953.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:BZIP2:128:Azure L",1599507.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:BZIP2:128:Azure L",1598394.91666667,4,"bayes,hivebench_agregation,hivebench_join,kmeans,sort,wordcount"
"ETH:HDD:24: 10:1: 65536:ZLIB: 64:Local 1",1596614.7,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:HDD:12: 20:3:  4096:None: 32:Local 1",1594265.06666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:Snappy:256:Azure L",1592294.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:Snappy: 32:Azure L",1592025.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:3: 65536:ZLIB:256:Azure L",1589523.86666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2: 8: 10:3: 65536:BZIP2:128:Azure L",1589305.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:3: 65536:BZIP2:128:Azure L",1587770.66666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2: 8: 10:1: 65536:ZLIB:128:Azure L",1587394.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:BZIP2:128:Azure L",1581854.96666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3:10: 10:3: 65536:Snappy:128:Azure L",1579445.76666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3:10: 10:3: 65536:None:128:Azure L",1577759.06666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2:10: 10:3: 65536:BZIP2: 32:Azure L",1572663.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:Snappy:128:Azure L",1553114,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:BZIP2: 32:Azure L",1549726.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:None: 64:Azure L",1544643.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:Snappy: 64:Azure L",1542192.33333333,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:ZLIB:128:Azure L",1533049.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:Snappy: 64:Azure L",1530974.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:1: 65536:ZLIB:  0:Local 1",1527732.125,8,"hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:Snappy: 64:Azure L",1519047,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:None: 64:Azure L",1517226.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:24: 10:2: 65536:ZLIB: 64:Local 1",1512223.06666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:RL2:10: 10:3: 65536:None: 64:Azure L",1511785.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:ZLIB: 32:Azure L",1510921.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:ZLIB:256:Azure L",1504980.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:ZLIB: 64:Azure L",1502773.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 20:1:131072:None: 32:Local 1",1501920.56666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:Snappy: 32:Azure L",1498003.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:BZIP2:256:Azure L",1491877.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:ZLIB:128:Azure L",1491552.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:None:256:Azure L",1489915.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:ZLIB: 32:Azure L",1485483.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:Snappy:128:Azure L",1483915.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:BZIP2: 32:Azure L",1480395.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12:  5:3: 65536:None: 32:Local 1",1479200,2,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,sort,terasort,wordcount"
"ETH:RL2: 8: 10:3: 65536:Snappy: 64:Azure L",1478626.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:Snappy: 32:Azure L",1476373.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:ZLIB: 32:Azure L",1471561.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:ZLIB: 32:Azure L",1470228.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:BZIP2:256:Azure L",1458059.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:None: 32:Azure L",1454753.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:BZIP2: 64:Azure L",1452567.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:None:128:Azure L",1451524.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:Snappy:128:Azure L",1450161.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1:  4096:None: 64:Local 1",1450066.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:None:256:Azure L",1447532.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:Snappy: 32:Azure L",1441116.33333333,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:1: 65536:ZLIB: 64:Local 1",1434629.07142857,8,"hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:None:128:Azure L",1428898.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:None: 32:Azure L",1427315.80952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:BZIP2: 64:Azure L",1424369.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:None: 32:Azure L",1422409.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:None:128:Azure L",1414102.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:None: 32:Azure L",1411104.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:ZLIB:256:Azure L",1410933.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:BZIP2: 32:Azure L",1408186.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:Snappy:256:Azure L",1402013.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:None:256:Azure L",1396544.80952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:Snappy: 64:Azure L",1394532.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:Snappy:128:Azure L",1386792.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1: 32768:None:128:Local 1",1369004.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:BZIP2:128:Azure L",1366252.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:Snappy:256:Azure L",1364378.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:ZLIB:128:Azure L",1362295.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:BZIP2: 32:Azure L",1362049.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3: 32768:None:128:Local 1",1361189.2,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1:10: 10:1: 65536:None:128:Azure L",1355458.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1:131072:None: 64:Local 1",1352450.16666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:None:256:Azure L",1350704.33333333,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1: 32768:None:256:Local 1",1349678.16666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:Snappy: 32:Azure L",1348269.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:ZLIB: 32:Azure L",1347021.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:BZIP2:128:Azure L",1346358.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:BZIP2:256:Azure L",1345950.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:BZIP2: 64:Azure L",1345659.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:None: 64:Azure L",1341482.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1:131072:None:256:Local 1",1336823.46666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:None: 32:Azure L",1335138.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:131072:None:128:Local 1",1333167.06666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:Snappy:256:Azure L",1329601.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:ZLIB: 64:Azure L",1321136.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:Snappy:128:Azure L",1319582.16666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12:  5:1: 32768:None: 32:Local 1",1317873.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1: 32768:None:256:Local 1",1313317.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:BZIP2: 64:Azure L",1310374.80952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:None:256:Azure L",1307824.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:ZLIB:128:Azure L",1303566.33333333,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:None:128:Azure L",1300861.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1:  4096:None:128:Local 1",1298878.96666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:None: 64:Azure L",1298873.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:3: 65536:ZLIB:256:Azure L",1297355.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:BZIP2:128:Azure L",1292372.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:None:256:Azure L",1292256.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:Snappy: 32:Azure L",1290738.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1: 32768:None: 32:Local 1",1289825.06666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:ZLIB:256:Azure L",1284286.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:ZLIB: 64:Azure L",1280764.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:ZLIB:256:Azure L",1274166.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:ZLIB: 64:Azure L",1269179.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3: 32768:None:256:Local 1",1265773.3,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1:10: 10:1: 65536:Snappy:256:Azure L",1264724.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:BZIP2: 64:Azure L",1263918.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 20:1:  4096:None: 64:Local 1",1261571.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:Snappy:256:Azure L",1248797.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:ZLIB:128:Azure L",1241514.23809524,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:None:128:Azure L",1240166.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:ZLIB:256:Azure L",1233351.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:Snappy: 64:Azure L",1225795.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:Snappy: 64:Azure L",1222655.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:3: 65536:ZLIB:256:Azure L",1216614.80952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:BZIP2:128:Azure L",1205872.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:None:128:Azure L",1202949.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:  4096:None: 64:Local 1",1198362.16666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 20:1:  4096:None:128:Local 1",1198062.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:24: 10:1: 65536:None: 64:Local 1",1191948.56666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 10:1:  4096:None: 64:Local 1",1186540.8,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:Snappy:256:Azure L",1183646.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:None:256:Azure L",1182461.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:Snappy: 32:Azure L",1180605.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1:131072:None: 32:Local 1",1180507.06666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1:131072:None:128:Local 1",1178940,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:1: 65536:BZIP2:128:Azure L",1172326.61904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:Snappy:128:Azure L",1163144,6,"bayes,hivebench_agregation,hivebench_join,wordcount"
"ETH:RL1: 8: 10:1: 65536:ZLIB:256:Azure L",1161093.33333333,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:BZIP2:256:Azure L",1150836.57142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:3: 65536:BZIP2:256:Azure L",1147821.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:131072:None: 64:Local 1",1140218.56666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1:  4096:None: 32:Local 1",1130071.36666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:1: 65536:BZIP2: 32:Azure L",1129024.95238095,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:None: 64:Azure L",1125336.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 20:1:  4096:None: 32:Local 1",1124627.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1:131072:None: 64:Local 1",1123921.46666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1:131072:None:256:Local 1",1110393.2,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 20:1:  4096:None:256:Local 1",1106913.1,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:1: 65536:None: 64:Local 1",1095590.5,8,"hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:BZIP2: 32:Azure L",1078227.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 20:1:131072:None:256:Local 1",1075437.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:1: 65536:None: 32:Local 1",1071860.28571429,8,"hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1:  4096:None:128:Local 1",1063389.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 20:3: 32768:None: 32:Local 1",1054255.2,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 20:1:131072:None: 64:Local 1",1053223.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:ZLIB:128:Azure L",1046078.28571429,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 50:1:  4096:None:256:Local 1",1043082.16666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:1: 65536:BZIP2:256:Azure L",1042747.66666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:1: 65536:None:256:Azure L",1029252.47619048,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:131072:None: 32:Local 1",1023452.26666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:131072:None:256:Local 1",1020235.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1:  4096:None:256:Local 1",1006101.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:BZIP2:128:Azure L",995945.952380952,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12: 10:1:131072:None: 32:Local 1",988720.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:  4096:None:128:Local 1",988307.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:ZLIB: 32:Azure L",987821.766666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:SSD:12: 10:1: 65536:None:  0:Local 1",978242.410714286,8,"hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:None: 64:Azure L",965369,7,"bayes,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:  4096:None: 32:Local 1",953639.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"IB:HDD:12:  5:1:  4096:None:256:Local 1",937165.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:None: 32:Azure L",925154.571428571,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:BZIP2: 32:Azure L",920721.571428571,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:Snappy: 32:Azure L",919647.904761905,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:Snappy: 32:Azure L",919270.285714286,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:2: 65536:Snappy: 32:Azure L",888727.5,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1:10: 10:2: 65536:BZIP2: 64:Azure L",879271.333333333,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:None:256:Azure L",871743.476190476,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:ZLIB:128:Azure L",870895.366666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1: 8: 10:2: 65536:BZIP2: 64:Azure L",866714.142857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:Snappy:128:Azure L",866142.952380952,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:BZIP2: 32:Azure L",864884.571428571,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:ZLIB: 64:Azure L",859838.666666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:Snappy: 64:Azure L",858209.238095238,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:2: 65536:Snappy: 64:Azure L",856123.766666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1: 8: 10:2: 65536:Snappy: 64:Azure L",840204.285714286,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:ZLIB: 32:Azure L",839498.142857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:None:128:Azure L",832740.571428571,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:None: 32:Azure L",825003.666666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:BZIP2: 32:Azure L",816513.238095238,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:None:128:Azure L",813322.952380952,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:Snappy: 32:Azure L",813131.619047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:Snappy: 64:Azure L",811226,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:Snappy:256:Azure L",809548.809523809,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:Snappy:128:Azure L",801875.952380952,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:BZIP2:128:Azure L",801625.904761905,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:BZIP2: 64:Azure L",790191.809523809,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:ZLIB:256:Azure L",784383.142857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:SSD:12: 10:1: 65536:None:128:Local 1",779881.553571429,8,"hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:ZLIB:256:Azure L",777484.619047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:None: 64:Azure L",771369.619047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:Snappy:256:Azure L",769455.285714286,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:ZLIB:128:Azure L",769111.476190476,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1: 8: 10:2: 65536:ZLIB: 64:Azure L",767033.238095238,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:ZLIB: 32:Azure L",754288.333333333,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:2: 65536:Snappy:128:Azure L",751735.6,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1:10: 10:2: 65536:BZIP2:256:Azure L",750709.142857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:Snappy:256:Azure L",745055.809523809,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:BZIP2:128:Azure L",742119,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:ZLIB: 64:Azure L",739182,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:2: 65536:Snappy:256:Azure L",736783.766666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1: 8: 10:2: 65536:BZIP2:256:Azure L",728920.809523809,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:BZIP2:256:Azure L",727796.619047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL1:10: 10:2: 65536:None:256:Azure L",718776.809523809,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:Snappy:128:Azure L",711057.809523809,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3:  4096:None: 64:Local 1",696819.3,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2:10: 10:2: 65536:None:128:Azure L",690413.285714286,7,"bayes,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1: 65536:ZLIB:  0:Local 1",684909.155555556,10,""
"ETH:HDD:12: 10:3:  4096:None:256:Local 1",682979.3,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2:10: 10:2: 65536:None:256:Azure L",668222.904761905,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL2:10: 10:2: 65536:ZLIB:128:Azure L",659685.571428571,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:SSD:16: 10:3: 65536:ZLIB: 64:Local 1",657064.3,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:RL2:10: 10:2: 65536:ZLIB:256:Azure L",636202.952380952,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12: 10:3:  4096:None:128:Local 1",634864,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
