"","ID","Benchmark","Exe Time","Exec Conf","Running Cost $","Net","Disk","Maps","IO SFac","Rep","IO FBuf","Comp","Blk size","Cluster","Histogram","PARAVER","End time"
"3771","3771","pagerank","445","20141106_215215_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z128_al-08/pagerank","0.00","ETH","RL3","6","10","3","65536","ZLIB","128","al-08","20141106_215215_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z128_al-08/pagerank","3771","20141106221621"
"3768","3768","kmeans","2262","20141106_201706_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z128_al-08/kmeans","0.00","ETH","RL3","6","10","3","65536","ZLIB","128","al-08","20141106_201706_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z128_al-08/kmeans","3768","20141106210545"
"3765","3765","pagerank","2920","20141106_184952_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","256","al-05","20141106_184952_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_al-05/pagerank","3765","20141106195541"
"3762","3762","dfsioe_read","860","20141106_174056_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z64_al-08/dfsioe_read","0.00","ETH","RL3","6","10","3","65536","ZLIB","64","al-08","20141106_174056_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z64_al-08/dfsioe_read","3762","20141106184918"
"3760","3760","kmeans","2944","20141106_171423_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","256","al-05","20141106_171423_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_al-05/kmeans","3760","20141106181055"
"3761","3761","pagerank","428","20141106_171453_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z64_al-08/pagerank","0.00","ETH","RL3","6","10","3","65536","ZLIB","64","al-08","20141106_171453_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z64_al-08/pagerank","3761","20141106173843"
"3758","3758","kmeans","2382","20141106_155643_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z64_al-08/kmeans","0.00","ETH","RL3","6","10","3","65536","ZLIB","64","al-08","20141106_155643_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z64_al-08/kmeans","3758","20141106164854"
"3756","3756","dfsioe_read","5023","20141106_130921_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","128","al-05","20141106_130921_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_al-05/dfsioe_read","3756","20141106152550"
"3754","3754","dfsioe_read","978","20141106_113952_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z32_al-08/dfsioe_read","0.00","ETH","RL3","6","10","3","65536","ZLIB","32","al-08","20141106_113952_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z32_al-08/dfsioe_read","3754","20141106133039"
"3755","3755","pagerank","2877","20141106_120147_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","128","al-05","20141106_120147_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_al-05/pagerank","3755","20141106130706"
"3752","3752","pagerank","466","20141106_111317_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z32_al-08/pagerank","0.00","ETH","RL3","6","10","3","65536","ZLIB","32","al-08","20141106_111317_conf_ETH_RL3_b_m6_i10_r3_I65536_c1_z32_al-08/pagerank","3752","20141106113739"
"3750","3750","kmeans","2824","20141106_100307_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","128","al-05","20141106_100307_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_al-05/kmeans","3750","20141106105842"
"3748","3748","dfsioe_read","6790","20141106_053642_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-05","20141106_053642_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/dfsioe_read","3748","20141106081824"
"3747","3747","pagerank","2859","20141106_043028_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-05","20141106_043028_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/pagerank","3747","20141106053505"
"3744","3744","kmeans","2998","20141106_023411_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-05","20141106_023411_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/kmeans","3744","20141106033227"
"3742","3742","dfsioe_read","5660","20141105_222818_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","32","al-05","20141105_222818_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_al-05/dfsioe_read","3742","20141106005209"
"3741","3741","pagerank","2839","20141105_212253_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","32","al-05","20141105_212253_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_al-05/pagerank","3741","20141105222707"
"3738","3738","kmeans","3354","20141105_191607_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","32","al-05","20141105_191607_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_al-05/kmeans","3738","20141105201947"
"3736","3736","dfsioe_read","7507","20141105_140104_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-05","20141105_140104_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/dfsioe_read","3736","20141105165539"
"3735","3735","pagerank","2814","20141105_125514_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-05","20141105_125514_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/pagerank","3735","20141105135923"
"3732","3732","kmeans","3012","20141105_104644_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-05","20141105_104644_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_al-05/kmeans","3732","20141105115917"
"3730","3730","dfsioe_read","9743","20141105_053149_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","256","al-05","20141105_053149_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_al-05/dfsioe_read","3730","20141105090304"
"3729","3729","pagerank","2906","20141105_042509_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","None","256","al-05","20141105_042509_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_al-05/pagerank","3729","20141105053028"
"3726","3726","kmeans","2922","20141105_022726_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","None","256","al-05","20141105_022726_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z256_al-05/kmeans","3726","20141105032355"
"3724","3724","dfsioe_read","6087","20141104_220745_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","128","al-05","20141104_220745_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_al-05/dfsioe_read","3724","20141105003654"
"3723","3723","pagerank","2888","20141104_210059_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","None","128","al-05","20141104_210059_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_al-05/pagerank","3723","20141104220604"
"3720","3720","kmeans","2814","20141104_190422_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","None","128","al-05","20141104_190422_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z128_al-05/kmeans","3720","20141104195913"
"3718","3718","dfsioe_read","6902","20141104_143644_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","64","al-05","20141104_143644_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/dfsioe_read","3718","20141104171936"
"3717","3717","pagerank","2874","20141104_132928_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","None","64","al-05","20141104_132928_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/pagerank","3717","20141104143503"
"3714","3714","kmeans","3002","20141104_113445_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","None","64","al-05","20141104_113445_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/kmeans","3714","20141104123245"
"3712","3712","dfsioe_read","6535","20141104_071242_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","32","al-05","20141104_071242_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_al-05/dfsioe_read","3712","20141104095023"
"3711","3711","pagerank","2861","20141104_060645_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","None","32","al-05","20141104_060645_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_al-05/pagerank","3711","20141104071110"
"3708","3708","kmeans","3359","20141104_040143_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","None","32","al-05","20141104_040143_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z32_al-05/kmeans","3708","20141104050519"
"3706","3706","dfsioe_read","5018","20141104_000429_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","None","64","al-05","20141104_000429_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/dfsioe_read","3706","20141104021616"
"3705","3705","pagerank","2858","20141103_225903_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/pagerank","0.00","ETH","HDD","8","10","2","65536","None","64","al-05","20141103_225903_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/pagerank","3705","20141104000241"
"3702","3702","kmeans","3020","20141103_210029_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/kmeans","0.00","ETH","HDD","8","10","2","65536","None","64","al-05","20141103_210029_conf_ETH_HDD_b_m8_i10_r2_I65536_c0_z64_al-05/kmeans","3702","20141103220114"
"3700","3700","dfsioe_read","6453","20141103_172834_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","256","al-05","20141103_172834_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_al-05/dfsioe_read","3700","20141103194010"
"3699","3699","pagerank","4954","20141103_153807_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","Snappy","256","al-05","20141103_153807_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_al-05/pagerank","3699","20141103172654"
"3696","3696","kmeans","5064","20141103_123658_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","256","al-05","20141103_123658_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z256_al-05/kmeans","3696","20141103141239"
"3694","3694","dfsioe_read","6156","20141103_091531_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","128","al-05","20141103_091531_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_al-05/dfsioe_read","3694","20141103112248"
"3693","3693","pagerank","4839","20141103_072656_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","Snappy","128","al-05","20141103_072656_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_al-05/pagerank","3693","20141103091342"
"3690","3690","kmeans","5097","20141103_042509_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","128","al-05","20141103_042509_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z128_al-05/kmeans","3690","20141103060100"
"3688","3688","dfsioe_read","6492","20141103_004326_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-05","20141103_004326_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/dfsioe_read","3688","20141103031021"
"3687","3687","pagerank","4945","20141102_225216_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-05","20141102_225216_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/pagerank","3687","20141103004126"
"3684","3684","kmeans","5475","20141102_194254_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-05","20141102_194254_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/kmeans","3684","20141102212503"
"3682","3682","dfsioe_read","6412","20141102_161055_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","32","al-05","20141102_161055_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_al-05/dfsioe_read","3682","20141102182337"
"3681","3681","pagerank","4903","20141102_142122_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","Snappy","32","al-05","20141102_142122_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_al-05/pagerank","3681","20141102160905"
"3678","3678","kmeans","6343","20141102_105049_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","32","al-05","20141102_105049_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z32_al-05/kmeans","3678","20141102124718"
"3676","3676","dfsioe_read","6817","20141102_070812_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-05","20141102_070812_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/dfsioe_read","3676","20141102092704"
"3675","3675","pagerank","4904","20141102_051825_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-05","20141102_051825_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/pagerank","3675","20141102070620"
"3672","3672","kmeans","5505","20141102_020533_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","Snappy","64","al-05","20141102_020533_conf_ETH_HDD_b_m4_i10_r1_I65536_c3_z64_al-05/kmeans","3672","20141102034821"
"3670","3670","dfsioe_read","6349","20141101_223649_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","256","al-05","20141101_223649_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_al-05/dfsioe_read","3670","20141102004743"
"3669","3669","pagerank","4957","20141101_204601_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","BZIP2","256","al-05","20141101_204601_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_al-05/pagerank","3669","20141101223440"
"3666","3666","kmeans","5046","20141101_174424_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","BZIP2","256","al-05","20141101_174424_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z256_al-05/kmeans","3666","20141101191933"
"3664","3664","dfsioe_read","6691","20141101_141155_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","128","al-05","20141101_141155_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_al-05/dfsioe_read","3664","20141101162836"
"3663","3663","pagerank","4876","20141101_122223_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","BZIP2","128","al-05","20141101_122223_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_al-05/pagerank","3663","20141101141004"
"3660","3660","kmeans","5089","20141101_091910_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","BZIP2","128","al-05","20141101_091910_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z128_al-05/kmeans","3660","20141101105511"
"3658","3658","dfsioe_read","6458","20141101_054932_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","64","al-05","20141101_054932_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/dfsioe_read","3658","20141101080237"
"3657","3657","pagerank","4903","20141101_035947_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","BZIP2","64","al-05","20141101_035947_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/pagerank","3657","20141101054746"
"3654","3654","kmeans","5491","20141101_004814_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","BZIP2","64","al-05","20141101_004814_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/kmeans","3654","20141101023110"
"3652","3652","dfsioe_read","5667","20141031_212844_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z32_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","32","al-05","20141031_212844_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z32_al-05/dfsioe_read","3652","20141031232921"
"3651","3651","pagerank","4847","20141031_193944_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z32_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","BZIP2","32","al-05","20141031_193944_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z32_al-05/pagerank","3651","20141031212649"
"3648","3648","kmeans","6329","20141031_161013_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z32_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","BZIP2","32","al-05","20141031_161013_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z32_al-05/kmeans","3648","20141031180705"
"3644","3644","dfsioe_read","6135","20141031_123722_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","BZIP2","64","al-05","20141031_123722_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/dfsioe_read","3644","20141031144458"
"3643","3643","pagerank","504","20141031_123616_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z128_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","Snappy","128","al-08","20141031_123616_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z128_al-08/pagerank","3643","20141031130423"
"3640","3640","pagerank","4892","20141031_104805_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","BZIP2","64","al-05","20141031_104805_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/pagerank","3640","20141031123525"
"3639","3639","kmeans","2691","20141031_103416_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z128_al-08/kmeans","0.00","ETH","HDD","8","10","1","65536","Snappy","128","al-08","20141031_103416_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z128_al-08/kmeans","3639","20141031113319"
"3636","3636","dfsioe_read","707","20141031_093930_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z64_al-08/dfsioe_read","0.00","ETH","HDD","8","10","1","65536","Snappy","64","al-08","20141031_093930_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z64_al-08/dfsioe_read","3636","20141031100637"
"3630","3630","kmeans","5477","20141031_073720_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","BZIP2","64","al-05","20141031_073720_conf_ETH_HDD_b_m4_i10_r1_I65536_c2_z64_al-05/kmeans","3630","20141031091948"
"3631","3631","dfsioe_read","1136","20141031_074159_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z32_al-08/dfsioe_read","0.00","ETH","HDD","8","10","1","65536","Snappy","32","al-08","20141031_074159_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z32_al-08/dfsioe_read","3631","20141031082021"
"3629","3629","pagerank","483","20141031_071131_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z32_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","Snappy","32","al-08","20141031_071131_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z32_al-08/pagerank","3629","20141031073952"
"3621","3621","dfsioe_read","7014","20141031_035628_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z256_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","ZLIB","256","al-05","20141031_035628_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z256_al-05/dfsioe_read","3621","20141031061818"
"3625","3625","kmeans","274","20141031_055346_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z32_al-08/kmeans","0.00","ETH","HDD","8","10","1","65536","Snappy","32","al-08","20141031_055346_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z32_al-08/kmeans","3625","20141031060936"
"3624","3624","pagerank","514","20141031_050219_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z64_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","Snappy","64","al-08","20141031_050219_conf_ETH_HDD_b_m8_i10_r1_I65536_c3_z64_al-08/pagerank","3624","20141031052921"
"3617","3617","pagerank","4915","20141031_020540_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z256_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","ZLIB","256","al-05","20141031_020540_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z256_al-05/pagerank","3617","20141031035433"
"3620","3620","pagerank","516","20141031_031818_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z256_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","BZIP2","256","al-08","20141031_031818_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z256_al-08/pagerank","3620","20141031034645"
"3615","3615","kmeans","2773","20141031_010417_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z256_al-08/kmeans","0.00","ETH","HDD","8","10","1","65536","BZIP2","256","al-08","20141031_010417_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z256_al-08/kmeans","3615","20141031020414"
"3609","3609","kmeans","5057","20141030_230344_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z256_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","ZLIB","256","al-05","20141030_230344_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z256_al-05/kmeans","3609","20141031003831"
"3612","3612","pagerank","506","20141031_000632_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z128_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","BZIP2","128","al-08","20141031_000632_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z128_al-08/pagerank","3612","20141031003415"
"3608","3608","dfsioe_read","522","20141030_222754_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/dfsioe_read","0.00","ETH","HDD","8","10","1","65536","BZIP2","64","al-08","20141030_222754_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/dfsioe_read","3608","20141030225251"
"3606","3606","pagerank","490","20141030_215818_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","BZIP2","64","al-08","20141030_215818_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/pagerank","3606","20141030222514"
"3600","3600","dfsioe_read","6603","20141030_193057_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z128_al-05/dfsioe_read","0.00","ETH","HDD","4","10","1","65536","ZLIB","128","al-05","20141030_193057_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z128_al-05/dfsioe_read","3600","20141030214610"
"3601","3601","pagerank","513","20141030_194647_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z32_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","BZIP2","32","al-08","20141030_194647_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z32_al-08/pagerank","3601","20141030201446"
"3595","3595","pagerank","4994","20141030_173941_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z128_al-05/pagerank","0.00","ETH","HDD","4","10","1","65536","ZLIB","128","al-05","20141030_173941_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z128_al-05/pagerank","3595","20141030192857"
"3596","3596","dfsioe_read","512","20141030_175717_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/dfsioe_read","0.00","ETH","HDD","8","10","1","65536","BZIP2","64","al-08","20141030_175717_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/dfsioe_read","3596","20141030181950"
"3594","3594","pagerank","486","20141030_172817_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/pagerank","0.00","ETH","HDD","8","10","1","65536","BZIP2","64","al-08","20141030_172817_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/pagerank","3594","20141030175525"
"3589","3589","kmeans","337","20141030_160926_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/kmeans","0.00","ETH","HDD","8","10","1","65536","BZIP2","64","al-08","20141030_160926_conf_ETH_HDD_b_m8_i10_r1_I65536_c2_z64_al-08/kmeans","3589","20141030162659"
"3586","3586","kmeans","5101","20141030_143614_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z128_al-05/kmeans","0.00","ETH","HDD","4","10","1","65536","ZLIB","128","al-05","20141030_143614_conf_ETH_HDD_b_m4_i10_r1_I65536_c1_z128_al-05/kmeans","3586","20141030161226"
"3587","3587","dfsioe_read","1138","20141030_150525_conf_ETH_HDD_b_m8_i10_r1_I65536_c1_z256_al-08/dfsioe_read","0.00","ETH","HDD","8","10","1","65536","ZLIB","256","al-08","20141030_150525_conf_ETH_HDD_b_m8_i10_r1_I65536_c1_z256_al-08/dfsioe_read","3587","20141030154212"
