"","ID","Benchmark","Exe Time","Exec Conf","Running Cost $","Net","Disk","Maps","IO SFac","Rep","IO FBuf","Comp","Blk size","Cluster","Histogram","PARAVER","End time"
"5045","5045","pagerank","1898","20150104_202827_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/pagerank","1.40","ETH","RL2","6","10","2","65536","Snappy","128","al-14","20150104_202827_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/pagerank","5045","20150104211536"
"5040","5040","kmeans","2029","20150104_180336_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","128","al-15","20150104_180336_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/kmeans","5040","20150104184939"
"5039","5039","kmeans","1708","20150104_175607_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/kmeans","1.26","ETH","RL2","6","10","2","65536","Snappy","128","al-14","20150104_175607_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/kmeans","5039","20150104183717"
"5037","5037","dfsioe_read","5546","20150104_152158_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-15","20150104_152158_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/dfsioe_read","5037","20150104172124"
"5036","5036","dfsioe_read","3907","20150104_150122_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/dfsioe_read","2.89","ETH","RL2","6","10","2","65536","Snappy","64","al-14","20150104_150122_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/dfsioe_read","5036","20150104164656"
"5034","5034","pagerank","1905","20150104_141029_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/pagerank","1.41","ETH","RL2","6","10","2","65536","Snappy","64","al-14","20150104_141029_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/pagerank","5034","20150104145744"
"5028","5028","dfsioe_read","4605","20150104_111307_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","32","al-15","20150104_111307_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_S8_al-15/dfsioe_read","5028","20150104125955"
"5030","5030","kmeans","1739","20150104_121144_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/kmeans","1.29","ETH","RL2","6","10","2","65536","Snappy","64","al-14","20150104_121144_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/kmeans","5030","20150104125257"
"5025","5025","pagerank","2454","20150104_101002_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","32","al-15","20150104_101002_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_S8_al-15/pagerank","5025","20150104110954"
"5022","5022","kmeans","1730","20150104_081921_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/kmeans","1.28","ETH","RL2","6","10","2","65536","Snappy","64","al-14","20150104_081921_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z64_S8_al-14/kmeans","5022","20150104090104"
"5018","5018","kmeans","2293","20150104_071013_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","32","al-15","20150104_071013_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z32_S8_al-15/kmeans","5018","20150104075938"
