"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Cl.Name","Datanodes","Headnodes","VM.OS","VM.Cores","VM.RAM","Provider","VM.Size","Type"
10034,941,"terasort","IB","SSD",12,5,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10038,117,"pagerank","IB","SSD",12,5,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10040,1023,"terasort","IB","SSD",12,5,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10044,118,"pagerank","IB","SSD",12,5,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10046,968,"terasort","IB","SSD",12,10,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10050,118,"pagerank","IB","SSD",12,10,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10052,965,"terasort","IB","SSD",12,10,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10056,114,"pagerank","IB","SSD",12,10,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10058,953,"terasort","IB","SSD",12,10,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10062,115,"pagerank","IB","SSD",12,10,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10064,974,"terasort","IB","SSD",12,10,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10068,114,"pagerank","IB","SSD",12,10,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10070,996,"terasort","IB","SSD",12,10,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10074,113,"pagerank","IB","SSD",12,10,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10076,971,"terasort","IB","SSD",12,10,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10080,114,"pagerank","IB","SSD",12,10,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10082,950,"terasort","IB","SSD",12,10,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10086,114,"pagerank","IB","SSD",12,10,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10088,970,"terasort","IB","SSD",12,10,1,131072,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10092,113,"pagerank","IB","SSD",12,10,1,131072,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10118,961,"terasort","IB","SSD",12,10,1,65536,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10122,114,"pagerank","IB","SSD",12,10,1,65536,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10124,970,"terasort","IB","SSD",12,10,1,65536,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10128,180,"pagerank","IB","SSD",12,10,1,65536,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10130,947,"terasort","IB","SSD",12,10,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10134,114,"pagerank","IB","SSD",12,10,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10136,949,"terasort","IB","SSD",12,10,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10140,114,"pagerank","IB","SSD",12,10,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10142,958,"terasort","IB","SSD",12,20,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10146,114,"pagerank","IB","SSD",12,20,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10148,962,"terasort","IB","SSD",12,20,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10152,115,"pagerank","IB","SSD",12,20,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10154,946,"terasort","IB","SSD",12,20,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10158,115,"pagerank","IB","SSD",12,20,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
10160,940,"terasort","IB","SSD",12,20,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
