"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
10928,3205,"kmeans","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L",2747.32981235387
1184,5337,"terasort","IB","HDD",12,20,1,65536,"None",64,"Local 1",4113.73960144258
1400,965,"wordcount","IB","HDD",12,5,1,131072,"None",32,"Local 1",942.681739332863
1025,1009,"terasort","ETH","SSD",12,20,3,32768,"None",64,"Local 1",1068.13264895427
4138,5321,"terasort","ETH","R3",8,10,2,65536,"Snappy",64,"Azure L",5842.91655906302
90,984,"terasort","ETH","SSD",12,10,1,65536,"None",0,"Local 1",1067.40874204199
203,1939,"hivebench_join","IB","HDD",12,10,1,65536,"None",256,"Local 1",1576.40380957895
18203,1273,"wordcount","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L",1276.70288034988
1383,1090,"bayes","IB","HDD",12,5,1,32768,"None",32,"Local 1",1108.04334972598
216,987,"terasort","IB","SSD",12,10,1,65536,"None",128,"Local 1",991.813055024695
1126,4033,"terasort","IB","HDD",12,5,1,32768,"None",128,"Local 1",4272.58342574808
20318,3193,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",3125.3416541233
18437,1290,"wordcount","ETH","RL2",10,10,1,65536,"ZLIB",32,"Azure L",1260.26419266153
2167,611,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1",589.231783955555
354,519,"wordcount","IB","SSD",24,10,3,65536,"ZLIB",64,"Local 1",472.801606233321
4131,5171,"terasort","ETH","R3",8,10,1,65536,"None",64,"Azure L",5155.63467634518
2185,1145,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1",1250.12434611433
18361,2603,"pagerank","ETH","RL2",8,10,1,65536,"BZIP2",128,"Azure L",2659.69087084855
18247,2874,"pagerank","ETH","RL3",10,10,3,65536,"BZIP2",256,"Azure L",2873.82799074607
11009,4521,"dfsioe_write","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L",4509.18480160381
1405,1166,"wordcount","IB","HDD",12,5,1,131072,"None",128,"Local 1",1066.20566354064
21982,2718,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L",2587.44425977911
1089,1126,"bayes","ETH","SSD",12,20,3,65536,"None",128,"Local 1",1146.23506263074
20208,804,"sort","ETH","RL1",10,10,1,65536,"ZLIB",256,"Azure L",814.930088150574
1389,1372,"kmeans","IB","HDD",12,5,1,32768,"None",256,"Local 1",1558.63114013263
4407,3331,"terasort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",3134.18792212224
375,603,"wordcount","IB","HDD",16,10,1,65536,"None",64,"Local 1",718.389788980816
132,559,"wordcount","IB","HDD",12,10,1,65536,"ZLIB",0,"Local 1",826.037729104703
18275,1389,"wordcount","ETH","RL3",10,10,3,65536,"Snappy",256,"Azure L",1282.4258863321
748,5344,"sort","ETH","HDD",16,10,3,65536,"None",64,"Local 1",4068.79898976891
888,1089,"terasort","ETH","SSD",12,5,1,32768,"None",128,"Local 1",1067.40874204199
20145,1202,"dfsioe_write","ETH","RL1",8,10,1,65536,"Snappy",128,"Azure L",1429.62586929646
1307,5162,"terasort","ETH","HDD",12,20,3,65536,"None",256,"Local 1",4646.16018448711
18836,2878,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",256,"Azure L",2861.53779512161
20359,2697,"pagerank","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L",2691.97659389114
18190,2589,"kmeans","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L",2604.94643216979
1477,2235,"pagerank","IB","HDD",12,10,1,32768,"None",64,"Local 1",2181.79710510504
1066,1056,"terasort","ETH","SSD",12,20,3,4096,"None",256,"Local 1",1068.13264895427
1074,666,"wordcount","ETH","SSD",12,20,3,4096,"None",64,"Local 1",685.33145273478
1725,2537,"pagerank","ETH","HDD",12,10,3,32768,"None",64,"Local 1",2965.01298073587
18354,678,"sort","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L",734.158637982301
1024,1146,"bayes","ETH","SSD",12,20,3,32768,"None",256,"Local 1",1146.23506263074
22117,795,"sort","ETH","RL1",10,10,3,65536,"None",64,"Azure L",878.133877510872
1033,788,"wordcount","ETH","SSD",12,20,3,131072,"None",32,"Local 1",701.831267772129
1163,3811,"terasort","IB","HDD",12,20,1,131072,"None",256,"Local 1",4570.2802397224
2179,375,"dfsioe_write","IB","SSD",12,10,1,65536,"ZLIB",256,"Local 1",624.918491026847
20245,2769,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L",2831.66247090849
20308,3014,"kmeans","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L",2766.21259322137
18774,1390,"wordcount","ETH","RL2",10,10,3,65536,"None",256,"Azure L",1274.17449772282
620,391,"dfsioe_write","ETH","SSD",24,10,1,65536,"None",64,"Local 1",462.354708486214
893,1064,"terasort","ETH","SSD",12,5,1,131072,"None",256,"Local 1",1067.40874204199
796,974,"terasort","IB","SSD",12,20,1,131072,"None",32,"Local 1",987.417508272135
2057,2096,"pagerank","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",2227.33190455307
21931,720,"sort","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L",837.924971802362
1951,2853,"sort","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1",2516.87319784292
18416,4300,"dfsioe_read","ETH","RL2",10,10,1,65536,"None",64,"Azure L",3845.99056777378
18703,1290,"wordcount","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L",1280.89581499704
20321,1253,"wordcount","ETH","RL1",8,10,2,65536,"ZLIB",128,"Azure L",1280.42189487056
1680,2187,"pagerank","IB","HDD",12,50,1,65536,"None",32,"Local 1",2145.11809522832
860,977,"terasort","IB","SSD",12,20,3,131072,"None",128,"Local 1",974.157480880719
20,2526,"terasort","ETH","HDD",12,100,1,65536,"None",0,"Local 1",3919.59091393849
18447,1241,"dfsioe_write","ETH","RL2",10,10,1,65536,"ZLIB",64,"Azure L",1524.33453251167
4156,6691,"terasort","ETH","R1",8,10,1,65536,"ZLIB",64,"Azure L",5882.01427544203
20071,2782,"pagerank","ETH","RL1",8,10,1,65536,"ZLIB",32,"Azure L",2669.47175162391
22047,3011,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L",3006.12873088987
22228,6603,"sort","ETH","RR3",8,10,1,65536,"None",32,"Azure L",6443.07518996941
396,517,"wordcount","ETH","HDD",24,10,1,65536,"ZLIB",64,"Local 1",542.467501079628
22026,1278,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L",1284.70277766795
1443,1085,"bayes","IB","HDD",12,5,1,65536,"None",32,"Local 1",1112.39160281683
2215,1198,"kmeans","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1",1105.67322981267
18493,2708,"kmeans","ETH","RL2",10,10,1,65536,"Snappy",32,"Azure L",2373.79852763771
1399,1232,"kmeans","IB","HDD",12,5,1,131072,"None",32,"Local 1",1511.8252371082
22207,766,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",878.568449440418
20074,2759,"kmeans","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L",2675.4426635925
20196,657,"sort","ETH","RL1",10,10,1,65536,"ZLIB",64,"Azure L",806.54298232414
20185,2826,"pagerank","ETH","RL1",10,10,1,65536,"ZLIB",64,"Azure L",2831.66247090849
517,922,"terasort","ETH","SSD",16,10,3,65536,"ZLIB",64,"Local 1",983.745185981205
18773,2568,"kmeans","ETH","RL2",10,10,3,65536,"None",256,"Azure L",2436.03713986478
1015,592,"wordcount","ETH","SSD",12,20,3,32768,"None",128,"Local 1",652.331822660081
