"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"1994",2666,"terasort","ETH","RL2",8,10,2,65536,"ZLIB",64,"Azure L"
"3221",3813,"terasort","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"1974",2716,"terasort","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L"
"3390",1015,"terasort","ETH","SSD",12,20,3,32768,"None",256,"Local 1"
"3639",1000,"terasort","IB","SSD",12,5,1,4096,"None",128,"Local 1"
"3136",4177,"terasort","ETH","HDD",12,5,1,32768,"None",128,"Local 1"
"3480",1070,"terasort","ETH","SSD",12,20,1,4096,"None",256,"Local 1"
"1847",3107,"terasort","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"1909",3163,"terasort","ETH","RL1",10,10,1,65536,"Snappy",32,"Azure L"
"2045",3127,"terasort","ETH","RL3",8,10,2,65536,"BZIP2",128,"Azure L"
"3474",1035,"terasort","ETH","SSD",12,50,1,32768,"None",32,"Local 1"
"2079",2317,"terasort","ETH","RL3",8,10,1,65536,"BZIP2",32,"Azure L"
"2096",5617,"terasort","ETH","R1",8,10,1,65536,"Snappy",64,"Azure L"
"1874",3083,"terasort","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"2112",5034,"terasort","ETH","R3",8,10,3,65536,"Snappy",64,"Azure L"
"3454",1023,"terasort","ETH","SSD",12,5,3,131072,"None",128,"Local 1"
"3215",3957,"terasort","IB","HDD",12,50,1,32768,"None",256,"Local 1"
"3281",4154,"terasort","IB","HDD",12,5,1,131072,"None",128,"Local 1"
"3151",4359,"terasort","IB","HDD",12,50,3,32768,"None",256,"Local 1"
"3467",1127,"terasort","ETH","SSD",12,50,1,4096,"None",32,"Local 1"
"1986",2587,"terasort","ETH","RL2",8,10,2,65536,"Snappy",64,"Azure L"
"4204",3906,"terasort","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"3178",4398,"terasort","IB","HDD",12,10,3,131072,"None",64,"Local 1"
"3870",3341,"terasort","IB","HDD",24,10,3,65536,"None",64,"Local 1"
"3245",4309,"terasort","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"3473",1039,"terasort","ETH","SSD",12,50,1,32768,"None",256,"Local 1"
"2040",2996,"terasort","ETH","RL3",8,10,2,65536,"Snappy",256,"Azure L"
"3138",4112,"terasort","IB","HDD",12,50,3,65536,"None",64,"Local 1"
"1960",2822,"terasort","ETH","RL2",8,10,3,65536,"ZLIB",256,"Azure L"
"4367",741,"terasort","ETH","SSD",24,100,3,65536,"None",0,"Local 1"
"1921",2853,"terasort","ETH","RL1",10,10,1,65536,"None",32,"Azure L"
"3493",1029,"terasort","ETH","SSD",12,10,1,65536,"None",32,"Local 1"
"3571",976,"terasort","IB","SSD",12,5,3,65536,"None",256,"Local 1"
"3192",3807,"terasort","IB","HDD",12,5,3,4096,"None",128,"Local 1"
"3446",1081,"terasort","ETH","SSD",12,5,3,65536,"None",128,"Local 1"
"3280",3756,"terasort","IB","HDD",12,5,1,131072,"None",256,"Local 1"
"2065",2432,"terasort","ETH","RL3",10,10,1,65536,"ZLIB",128,"Azure L"
"3111",4381,"terasort","ETH","HDD",12,20,3,4096,"None",256,"Local 1"
"3361",991,"terasort","ETH","SSD",12,20,3,131072,"None",64,"Local 1"
"1975",2628,"terasort","ETH","RL2",10,10,2,65536,"BZIP2",32,"Azure L"
"3507",1053,"terasort","ETH","SSD",12,5,1,65536,"None",256,"Local 1"
"3108",4884,"terasort","ETH","HDD",12,20,3,65536,"None",128,"Local 1"
"2064",2423,"terasort","ETH","RL3",10,10,1,65536,"ZLIB",256,"Azure L"
"3287",1013,"terasort","ETH","SSD",12,50,3,65536,"None",64,"Local 1"
"2071",2363,"terasort","ETH","RL3",10,10,1,65536,"None",32,"Azure L"
"3504",1017,"terasort","ETH","SSD",12,10,1,32768,"None",128,"Local 1"
"3635",964,"terasort","IB","SSD",12,5,1,65536,"None",128,"Local 1"
"3922",1204,"terasort","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"3606",1006,"terasort","IB","SSD",12,20,1,4096,"None",256,"Local 1"
"3206",4182,"terasort","IB","HDD",12,50,1,4096,"None",64,"Local 1"
"2036",3421,"terasort","ETH","RL3",10,10,2,65536,"ZLIB",32,"Azure L"
"2033",3238,"terasort","ETH","RL3",10,10,2,65536,"ZLIB",256,"Azure L"
"1997",2659,"terasort","ETH","RL2",8,10,2,65536,"None",128,"Azure L"
"3102",5756,"terasort","ETH","HDD",12,50,3,32768,"None",64,"Local 1"
"3303",951,"terasort","ETH","SSD",12,50,3,32768,"None",128,"Local 1"
"3222",3027,"terasort","ETH","HDD",24,10,1,65536,"None",64,"Local 1"
"3271",5135,"terasort","IB","HDD",12,5,1,65536,"None",64,"Local 1"
"1907",3028,"terasort","ETH","RL1",10,10,1,65536,"Snappy",128,"Azure L"
"1893",3072,"terasort","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L"
"1954",2606,"terasort","ETH","RL2",8,10,3,65536,"Snappy",64,"Azure L"
"2164",2679,"terasort","ETH","HDD",8,10,1,65536,"None",64,"Azure L"
"3514",1063,"terasort","ETH","SSD",12,5,1,131072,"None",64,"Local 1"
