"Exe.Time","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20"
"1",6603,1922.904354752,70.1570440421649,2.9694955079494,-3.64259027685954,-0.748746678239734,0.161321484374316,0.617610510007444,-0.459044093400257,0.251211132013151,0.251937462205716,-0.142007748147355,-0.0324862729758309,0.406308900544488,0.13593705166432,0.397452596451088,-0.731635384355167,-0.318297127484775,-0.0876192175148721,-0.0504762335523307,-0.0146283091875174
"4",6896,1922.90535331935,38.1578389808171,3.00769476872119,-3.41806439055646,-0.757902375219278,0.179229951150307,0.648537451511413,-0.458876656960414,0.200058566541534,0.18924433993291,-0.101487586139998,-0.0488374851198617,0.360177369317352,0.184207284765966,0.019495443800633,-0.00874773178559026,0.781693073786767,-0.392349074667011,-0.177762719371524,-0.0293498484308492
"9",2649,1922.91133624261,-153.823495079788,3.16464357317189,-0.19853878297546,1.36208085818655,0.347173061817864,-0.251886955595666,0.0217620299219028,-0.792035006168929,0.360850308446562,0.210701710654364,0.560368691431744,-0.0478772803954562,-0.535802281047499,-0.00853621417435316,0.0309721186196539,0.150003675989779,0.152791866310081,0.880345733276407,-0.0475394910108662
"11",870,1922.91133600568,-153.823592327047,3.16263497166748,-0.196886227212874,1.35636710739365,0.293738028604135,-0.27850765555804,-0.0468131830034235,-0.730022581426036,0.479327274223197,0.134890409421941,0.555673880989635,0.0111090244281536,-0.57738491815249,0.372496374914447,-0.691886068311755,-0.337730135504878,-0.164037087026952,-0.0954894225059949,0.0199470984082484
"17",809,1922.90734150495,-25.8270907746502,3.00876302965915,-1.12590735994932,1.35797467748883,0.2145951331667,-0.271604398372367,-0.090926076100256,-0.737434563483063,0.484966351160915,0.128387480347729,0.547237543848969,0.0202193365853738,-0.570514048599025,0.373439955259516,-0.692808323388344,-0.337107447005747,-0.172024317233085,-0.0974435182364867,0.0260653151494362
"18",2581,1922.90734144159,-25.8270801712711,3.00879976769715,-1.12564486655861,1.35665216710633,0.214524511766594,-0.270135527094987,-0.0890662922574205,-0.737123727516427,0.495804581289053,0.13311106378404,0.532707316062536,0.0533991060012362,-0.520374801388421,-0.8269592209562,0.0521801030592893,-0.329830562212795,-0.170199724084113,-0.096710767440394,0.0265232887270893
"20",2869,1922.90534449151,38.1712572488067,2.93383566015938,-1.59207048208012,1.36449221332933,0.228458718661711,-0.241532069817157,-0.0444073097233459,-0.803152979254471,0.369308923853138,0.200947317043047,0.547714185720745,-0.0342118121596258,-0.525495976717301,-0.00712084365674997,0.0295887360047705,0.150937708738476,0.140811021000883,0.877414589680669,-0.0383621658990844
"22",766,1922.90534425458,38.1711600015479,2.93182705865498,-1.59041792631754,1.35877846253642,0.175023685447982,-0.268152769779531,-0.112982522648672,-0.741140554511577,0.487785889629774,0.125136015810624,0.543019375278637,0.0247744926639839,-0.567078613822292,0.37391174543205,-0.693269450926638,-0.336796102756181,-0.176017932336151,-0.0984205661017326,0.0291244235200301
"29",1277,1922.9043455395,70.1702931842506,2.8933282545359,-1.82230597258719,1.35768632871311,0.154252414105701,-0.268182031747228,-0.120468045586868,-0.741015630185447,0.492702213096107,0.126265528526982,0.514916271603001,0.0468917489595303,-0.522466336354901,0.420328606529167,0.718904137680458,-0.341391139582639,-0.179397085737335,-0.0997830108290149,0.0316406054734072
"32",3061,1922.90534449151,38.1712572488067,2.93383566015938,-1.59207048208012,1.36449221332933,0.228458718661711,-0.241532069817157,-0.0444073097233459,-0.803152979254471,0.369308923853138,0.200947317043047,0.547714185720745,-0.0342118121596258,-0.525495976717301,-0.00712084365674997,0.0295887360047705,0.150937708738476,0.140811021000883,0.877414589680669,-0.0383621658990844
"33",2919,1922.90534419675,38.1710803282992,2.93155833392468,-1.59814732319857,1.35002465808067,0.173146428364614,-0.235500013979143,-0.123843309483037,-0.794146115497451,0.426502536591397,0.164030445549428,0.524559078849439,-0.0190794605238473,-0.51709066333228,-0.0038095121321375,0.029387637873791,0.763349770640144,-0.482744597039822,-0.226195575853549,0.0159324384619953
"39",2881,1922.91133593925,-153.823743322093,3.16230357882973,-0.203557819898287,1.34031065714849,0.284310651582008,-0.242505059294168,-0.021681066992672,-0.789012117542038,0.440002504932098,0.224715557695523,-0.626988641191455,-0.408004475303369,0.177052971217775,0.00442474784075333,-0.00746715494869501,0.724054157538155,-0.469226074640209,-0.223517202472534,0.00552333596214571
"44",2691,1922.90734173328,-25.8270648491893,3.0107089630561,-1.12650211151628,1.35638578249232,0.26048004644167,-0.241633857946509,0.0136420396701869,-0.805430963356085,0.388447969131557,0.255129500114931,-0.612269871460815,-0.414026514781927,0.175518527386219,0.00205699666120969,-0.00818831189430443,0.112264784135619,0.146342313194364,0.878138867331192,-0.0426530516577462
"45",2840,1922.90734143852,-25.8272417696967,3.0084316368214,-1.13257895263473,1.34191822724367,0.205167756144573,-0.235601802108496,-0.0657939600895045,-0.796424099599065,0.445641581869816,0.218212628621312,-0.635424978332121,-0.398894163146149,0.18392384077124,0.00536832818582214,-0.00838941002528393,0.724676846037287,-0.477213304846341,-0.225471298203026,0.0116415527033335
"58",864,1922.9043456208,70.1702140678492,2.89329640504544,-1.82161540530603,1.3518777092708,0.147687841649865,-0.263077115019629,-0.0880178430777638,-0.748977525155962,0.511154242611481,0.174441002076849,-0.623291934758422,-0.348207475840402,0.139089042446327,0.383797271008811,-0.731738190133155,-0.37500201098469,-0.176477062797269,-0.0991618602490785,0.0294222003172592
"59",1285,1922.90434553091,70.1702218624527,2.89326558642844,-1.82124816839157,1.3503836829237,0.146702294166943,-0.264832191283744,-0.0844751427417511,-0.746999605315575,0.514660796843385,0.17719624706176,-0.649285954148892,-0.328367797584161,0.181983602525352,0.429978237019661,0.680665962243089,-0.379752719935931,-0.17785940864692,-0.100035781043738,0.0304088280853394
"64",793,1922.90534424599,38.17108867975,2.93176439054752,-1.58936012212191,1.35147581674701,0.167473565509224,-0.264802929316047,-0.0769896198035557,-0.747124529641705,0.509744473377051,0.176066734345402,-0.621182850473256,-0.350485053879707,0.13737132505796,0.383561375922544,-0.731507626364008,-0.375157683109473,-0.174480255245736,-0.0986733363164556,0.0278926461319622
"67",4251,1922.91133642241,-153.823159969311,3.16599673254927,-0.174801367962569,1.37838473493335,0.380768925022779,-0.568696094852922,0.386694988059309,-0.0242530357373108,0.377463521385906,0.799653597611915,-0.0379541094898315,0.311244890909835,0.0331706101927027,0.0127128657844811,-0.00648229235134154,0.229435073939354,0.812579032207925,-0.373778864623317,-0.0186151551702956
"69",2894,1922.9113361448,-153.823355115526,3.16366178892019,-0.180939981902539,1.36556892156194,0.332083824522736,-0.565602130483019,0.304082245149324,-0.017091740705766,0.420715862722583,0.769878186079983,-0.0628259171189787,0.333018009754272,0.0422506600903506,0.0156343360746111,-0.00676785694648811,0.804081765802589,-0.46486621387434,-0.224164445562046,0.0274277796423848
