"Exe.Time","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20"
"3093",4857,1922.905322271,38.1881562152484,2.78238312929472,0.862764426591157,-1.41110964304374,-0.915332875245051,0.0889847051385441,-0.161561831061889,-0.306592556601103,-0.631314691993702,0.471951507092455,0.0846213655570311,0.00563046945360984,0.11162486102922,-6.6046016054571e-05,-0.00287712055039707,-0.0677814016164338,-0.0182834476753342,-0.0132433333096234,-0.0809139812462573
"2007",2642,1922.90434484806,70.1713822817316,2.89527736489757,-1.74504645582695,-0.392478178429969,0.947377664676417,0.517484740805802,0.033147061457694,-0.25320613456438,-1.08767253631544,-0.0275870627218581,-0.825170917694417,-0.375201052030741,-0.102842826526679,-0.0159919899501977,-0.00284329520921495,-0.155702489334982,-0.140503009795115,-0.0892905964071064,0.0684060888261492
"2676",3620,67458.9112623719,-151.762793939434,1.33687098652879,2.40924905851569,0.748257229374309,-1.23947404222814,-0.195248341917508,-0.76237558190244,0.372108714231946,0.142867318138181,0.0131200297642241,-0.0396407679226482,-0.26354580985398,-0.141722962757459,-0.00365607968936699,0.0151084885941424,0.831800893293679,-0.339675471976883,-0.14773003271107,-0.165269904495027
"2410",3470,1922.90532778714,38.1879444292063,2.82065215218905,0.713567522990614,-0.767714044064089,0.271151960300799,-0.780644294786735,-0.210676777468647,1.02222102170758,0.132886211777571,0.38149847000477,-0.0311063871236794,-0.362094371716098,-0.31043098099731,0.370493722451131,-0.711024383566335,-0.285129927457904,-0.146534377251408,-0.0832568504111223,-0.129041854766221
"2187",669,1922.90532467403,38.1885292448252,2.80103658089785,0.793717140942513,-1.09154488130963,-0.170772966698676,-0.111337546064294,1.03833950277531,-0.395048693680745,0.359805311981063,-0.666116881828135,0.559715008983876,-0.179851507875422,-0.599613606888947,0.412396194922839,0.720991610257932,-0.320521061217863,-0.209362228856272,-0.102861138587219,-0.0920012935860917
"2199",1922,1922.90532470609,38.188441776973,2.80079867478455,0.785620507147021,-1.09880465941828,-0.171664676299122,-0.0769297139997906,1.02393601560493,-0.450032174507006,0.295015404710782,-0.629977697074241,0.567248731945148,-0.243545139319495,-0.592520216477959,-0.0115060286521981,0.0312445466821175,0.784375521129703,-0.514706547710293,-0.229762227544376,-0.106179906412207
"1190",1225,1922.90735361011,-25.8402385708957,3.1075640362293,-3.0297262914955,-0.571019693351856,0.902435486956599,0.0927677373985608,-0.00630326755223486,-0.0683580043935893,-0.457833456710165,-0.607174071596123,0.252575297119686,0.162511285340189,-0.838782801174096,-0.0172864576593041,0.0332925290536555,0.17842931779961,0.798065362626185,-0.380778941700116,-0.0609227611467578
"7",2846,1922.90535331382,38.1579292574449,3.00800023148949,-3.41007250028472,-0.750471081146031,0.18103658683357,0.617353566988406,-0.446156086283214,0.253374963494044,0.261365923099425,-0.135658432442491,-0.044907416477098,0.437211091921046,0.184358581486558,-0.803182474850895,0.0135836058616136,-0.311175914816607,-0.0837978168143674,-0.0492549588236151,-0.0156998897951612
"3469",1016,67458.9102471093,-151.822598285372,-38.6090694598027,0.579631317375079,-0.682987695995392,0.561781740774524,1.03590095737229,0.281181059354693,0.481812726284789,-0.0745066402937337,0.273021202460052,0.024628489829117,-0.409719514283077,-0.22765948315119,-0.0135066150510207,0.0169013850985841,-0.0368280722524107,0.0189675899181841,0.00683683987034934,-0.0930646374088848
"3144",3467,-59517.093643473,-27.7901245478133,-35.5134366207721,-0.948791125567932,0.463887057517239,-0.833951899318348,-0.623783830808134,-0.132680159030264,-0.524359036752509,-0.704416469174573,0.424251391977483,0.099337188937997,0.048495173133796,0.177649609830313,-0.00139116637016902,-0.00722603196106375,-0.043506270812351,0.0715931907040367,0.0266931548719258,-0.099366069620168
"2767",3275,67458.9102457809,-151.822529884029,-38.6103716688143,0.672350330067253,-1.36336299004688,0.0113735983492428,-0.619481468215759,-0.347235357120438,-0.1787545187366,0.107834665805751,-0.166805987169178,-0.00564903610015956,0.323126032724955,0.100721519912332,0.388698479684847,-0.72620651969572,-0.284423104489884,-0.00383427621287297,-0.0150337651852184,-0.149599128106486
"3196",4703,67458.907391623,-23.7578524898683,6.15588299280713,1.84269293172174,0.228929404560058,-2.05173629733337,-0.192359952296973,-0.022341486212476,-0.481515579991871,-0.69413378363331,0.445354909324792,0.107726455539045,0.00428113491411286,0.14491604267944,-0.0023204263325574,0.00170224725353237,-0.0540384010987458,-0.0125269017997106,-0.00861525897746973,-0.0740475235979791
"3957",1200,1922.9053253101,38.1885064695979,2.80736133839525,0.818058206810808,-1.26977357151585,-0.255796848390081,-1.21731426273001,0.371889714788051,0.282971076408297,-0.0213428729520442,0.246202852338107,-0.00466751509871482,0.165183063939877,0.0395988284949021,-0.816100170470938,0.0169490463554188,-0.285174319621119,-0.158826004306743,-0.0909191598155651,-0.105236406909232
"3987",1193,1922.90532489404,38.1883595857528,2.7974657562605,0.788803902713663,-0.214660705383962,-0.595613177731484,-0.607086361890947,1.44670861597929,0.279030662091339,0.336616448933547,-0.0818906120304675,-0.0198792793956474,0.200566002986178,-0.00313560494088341,-0.813901879788335,0.0161258630455312,-0.258762184799857,-0.191504976683957,-0.096724857578556,-0.06967040107568
"1482",1280,1922.90535597435,38.156875329461,3.01815272076285,-3.54695238039899,1.11416856280129,-0.139339973659117,-0.302431438779079,0.0304185559887955,-0.165311779880734,-0.0126645491405681,-0.550643872849406,-0.154053560012368,-0.627281219422486,0.901804875828544,0.433622605048673,0.673709776728465,-0.39959687614348,-0.175595554487765,-0.0970707502817695,0.0129703756952718
"1950",2507,1922.90733849237,-25.8270645991005,2.98429389784189,-1.04994167383874,1.22314745698839,-0.434423113653358,0.71073684770251,-0.225605127572498,-0.0801164083608374,-1.03814661278045,0.111188132191116,-0.257399256238879,0.508061174840829,-0.115291315664495,0.000165812179890772,-0.00311728178468997,-0.0572684603446358,-0.0203974195808204,-0.0239153102925923,0.0683731904564068
"1119",4256,1922.90534438279,38.1722135739945,2.9428176358649,-1.52672307334342,-0.37044877234823,1.12323032739119,0.114589473586203,-0.0698495407505738,-0.148122479805134,-0.468998848002166,-0.564216066542744,-0.913806834700606,-0.163648596267466,-0.0968075865275812,-0.00608522079147944,-0.00675949223834457,0.109948774812174,0.12820535747208,0.862322217967749,-0.0471128943303154
"3084",576,67458.9102476851,-151.823709762901,-38.6119044410096,0.51075093555861,1.04974990814418,-0.268528281301903,0.247904662937054,0.198715350702997,0.468653805992441,0.601175376299487,-0.365960421022839,-0.0788424979031028,-0.114434535024586,-0.17942322866238,0.422695301875693,0.702478302047887,-0.247375146901027,-0.0150265989180223,-0.00788870082018757,-0.134207088375523
"1095",1269,1922.90534406456,38.1721954431372,2.94084088385096,-1.525761084862,-0.370353903698827,1.0763598666333,0.0828638568962303,-0.170874956185004,-0.0781481600917252,-0.368973911740904,-0.688202841325034,0.219706561218708,0.290436933356076,-0.7999456024338,0.411478703817676,0.721024648643859,-0.344174165280432,-0.19154361880502,-0.114134088394589,0.0225921002449472
"723",1291,1922.90535392425,38.1576922520928,3.0127719853284,-3.44323515833191,-0.673633101826654,0.327953610293816,0.630815316177493,-0.484161050815799,-0.148627081371883,0.721778422879846,0.379924348635491,-0.125413111306891,0.516287918965133,0.0612126954327391,0.447446756718847,0.680843675375999,-0.320603428901427,-0.0832440957054333,-0.0484624268353983,0.00445331106920569
"4060",693,1922.90532486751,38.1883567769772,2.7973981996055,0.788908646237413,-0.214832221348566,-0.596528103814301,-0.610310309432443,1.44839153247247,0.28069774596509,0.329284773037313,-0.0838589504818673,-0.0313430709996834,0.187225911826558,-0.0103802920724624,0.43267826243823,0.683541588974142,-0.270789778544049,-0.19471191568258,-0.0983315291693081,-0.069141746885253
"2612",4304,-30845.0949008743,37.1483727879282,-6.34981904001636,0.0457534006121157,0.880546581248471,-0.937540132033808,-0.357876553888884,-0.853532265600061,0.408576941529704,0.203179071677465,-0.0340556479250036,-0.0356882705485494,-0.203682353079458,-0.175755394553889,0.376402587237648,-0.714934350431806,-0.263835846335924,-0.0175197039203032,-0.0105628653752369,-0.152259234760735
"3161",3850,-59517.095878667,68.2532609365529,-5.67080182118418,-0.216188532956345,0.391684928188852,-1.52622821380863,-0.384686940496798,-0.105888098068289,-0.496402070688442,-0.701961922864224,0.440886608099998,0.0986160518522922,0.0168160181064234,0.159017828241281,-0.000438768185212181,-0.00681881527289794,-0.0485695010087048,0.0200505416248409,0.00709591050991019,-0.082406215465656
"2099",7176,1922.90535270848,38.1580626222015,3.00092950411593,-3.39837082323161,-0.764026006636612,0.0779918412276494,1.04370460992985,-0.260629584915349,0.084552283474768,-0.500211199016343,0.482532628827218,0.0673793072536745,0.121584592899314,0.166359643853527,0.00571753198072254,-0.00412473753442639,-0.0971573405558817,-0.0360876731185834,-0.0258003693963162,0.0333324672083903
"3793",1397,1922.90530121062,38.2164857597642,2.62444102001559,4.67686967455283,-0.28074942283767,0.416352548267353,0.951324242116723,0.0216177488334704,0.485990550598301,0.500983398565751,-0.264267494501575,-0.0637759950189628,-0.164761221828116,-0.176002655410558,0.0019861317054057,0.00654257201160654,0.238363817979706,0.194083706350224,0.917253483152699,-0.144403348307245
"3312",971,1922.90507137722,38.1714915348535,-7.1980680590208,0.212062302842096,1.04468409827365,-0.880644254134189,0.452362610529225,0.178287227756198,0.492908948073153,0.597671474723453,-0.35119501337737,-0.0598865938455051,-0.166116141544219,-0.237315816090667,0.378843492522342,-0.713967701577922,-0.246066194775486,-0.0630267426773387,-0.0238913226353866,-0.117135139368301
"1878",2905,1922.90534358544,38.1717899210623,2.92969729796948,-1.54965444448308,0.483303873386768,0.538369969923891,0.338862915748805,0.0213217010490832,-0.816193676439151,-0.217582053213056,0.753037468705456,0.629477765316244,-0.249356327150236,-0.552834621168421,-0.016686356692775,0.033646640651675,-0.122934482296134,-0.134653314032187,-0.0791393234837092,0.0734403826634157
"3207",3852,-59517.0896489653,-155.785647394974,-35.3496968322131,0.0371982809614483,-1.25523459525199,0.177147376354277,-0.272236022708243,-0.185158895353525,-0.336567130574863,-0.643670585149264,0.458425152197635,0.0898106826869484,0.036755898600516,0.131607366149536,-0.00118044429731684,-0.00648148918721958,-0.0602594688368248,0.0620748702753517,0.017788005158126,-0.109858047178691
"3899",822,1922.90525478887,38.2741729620563,2.28248594621845,12.5241832196052,0.644432472127384,1.86241722520538,0.544349443177262,0.552610429351866,0.533853842298484,-0.346535861819002,0.610130205095146,0.0626700181756449,-0.373419802591412,-0.138430794917802,-0.00908802435541831,0.0074590135890751,-0.000845793248261726,-0.218935365924021,-0.123142946642018,0.0722453425046108
"638",695,1922.91134798955,-153.836975859806,3.26013029396913,-2.10537790237052,-0.573867660938022,0.956855070605554,0.065334891591574,-0.0331059232336536,-0.487397691908118,0.589673061040057,0.22535466800864,-0.630246151413747,-0.404683226140365,0.0544785421235465,0.381830630383583,-0.7290337041997,-0.399557288538235,-0.166490521471461,-0.0977078313173549,-0.00589264517946995
"2089",6750,1922.90535492583,38.1571759282655,3.00758123457644,-3.51064630325337,1.05417084572174,-0.344762969334877,0.128372929572759,0.224390532777654,-0.443738304427239,-0.686736352180678,0.293292968428021,-0.458139414562935,-0.763252443338052,0.251997729080869,-0.0134565602440095,-0.00280363504602018,-0.163797366869891,-0.115191739408643,-0.0679915928243783,0.0375242246569113
"1957",2805,1922.90735270218,-25.8412635039979,3.08850361871151,-3.07176663321377,1.11841218680448,-0.186510762275707,0.13589787403155,0.237129347045159,-0.359798131614799,-1.1362845628752,-0.0385179881561604,-0.804635784706978,-0.417308565421364,-0.102239709041369,-0.019323655066199,-0.000705639746859345,-0.14737405933871,-0.103492597405804,-0.0680721723172914,0.0479569817052773
"379",2587,1922.90535646334,38.1574739109344,3.02651734468751,-3.53004232550834,0.298665390246856,0.426520500687239,-0.0773268043056977,-0.0152203949383534,-0.642888507941259,0.43844491784279,0.219503981560311,0.536694501522955,-0.080070802205082,-0.579171504770487,-0.00762350865258573,0.0308525981697344,0.173302760859515,0.799462312824928,-0.372346010789311,-0.0525315821416682
"1767",2480,1922.91134804207,-153.836790615536,3.26092551784185,-2.09841042735691,-0.600200839752758,0.959124140631822,0.0769786084225762,0.0682055219535571,-0.03595865853238,-0.0627804521910758,-0.447304051806322,-0.126956367102664,-0.729042400322885,0.850340537884373,0.00653784308382312,-0.0145460519400637,0.113588472066812,0.790980667414861,-0.381514360148751,-0.06080225787264
"1401",2643,1922.90733934174,-25.8270870891846,2.9929183910188,-1.06263664733279,1.22530782507762,-0.293260296621398,0.297331682525534,-0.345226959491131,0.0540855898184611,-0.0393296575232145,-0.324630231717511,0.428089966858642,0.214707381681247,0.884005911454651,0.0254267270225783,-0.0177867032159056,0.182681899046927,0.22970453762697,0.924772236185237,-0.0381457411113872
"4176",1050,1922.90732152246,-25.8103035291896,2.86768499327129,1.22227663532922,-0.714820586227211,-0.222721379459368,1.3131253492482,0.306310993553856,0.522923763436682,-0.0779151132377025,0.30096412393693,0.0236772483231761,-0.458953895006842,-0.254021256528562,-0.0115676775906716,0.0136869640525162,-0.0424245888512437,-0.0416053600625832,-0.0151065457289788,-0.0739414384713027
"1601",5654,1922.9053540632,38.1573803491413,3.00866410454277,-3.46511905712923,0.160284787042739,-0.134769962314588,0.464988576629829,-0.338096491254555,0.210644070103159,0.0326258749352959,-0.309325031737353,0.412852114090518,0.173403547714401,0.833765818178197,0.0253958521992769,-0.0169839685892362,0.205358295417532,0.884362214347948,-0.32596541214999,-0.0492560489833771
"4007",699,1922.90532526393,38.1869826533251,2.79780962319502,0.718139991241671,-0.0363920631719321,-0.752786519913109,-0.0816472174332564,-0.873030062837494,0.509999266432778,0.242627119938786,-0.0131754997144925,-0.068800143682444,-0.194496698716042,-0.159615133827234,0.422907738825974,0.699625936773412,-0.279072454071556,-0.0469141916246426,-0.0250034365217707,-0.147590786900899
"3955",893,1922.90530133908,38.2170883019914,2.63198105067847,4.75109371310322,-0.858937491779431,0.266781588199944,-1.18139754553114,0.223277742098557,0.146513195353442,-0.0653473571651561,0.222477434526147,0.00284241142083503,0.240990547237412,0.106429037448709,-0.813160815592381,0.0144125426510805,-0.270504193311674,-0.185854882506531,-0.108706373510874,-0.0647679961446004
"3317",2072,1922.91106307049,-153.82334046699,-6.96752887073859,1.59786460506573,1.03351893867513,-0.763807168061405,0.474660480551104,0.233595780567081,0.451021360172821,0.527929506278499,-0.302546190027248,-0.0656923845637039,-0.223635562967881,-0.197634169930852,-0.000293135559448451,0.010072769837391,0.853145645872142,-0.357772562071812,-0.148735188791465,-0.139504449538117
"1516",2720,1922.91134552769,-153.837966201657,3.23250861341913,-2.09821821858926,1.01124595393882,-0.52891227409281,0.247318238055434,-0.293523509132043,0.192049773112446,0.106348703550398,-0.377352311533433,0.41354630251099,0.259859402114732,0.852276547529895,-0.796353117888685,0.00653404322907685,-0.305732779308632,-0.063798153255066,-0.0394824662229262,0.0034463997618769
"442",634,1922.90535644052,38.1576753227385,3.02574666777173,-3.50477590037591,0.312558999955236,0.419935710272534,-0.426632826461549,0.274783863973141,0.183214749782303,0.545652553755605,0.746927487208813,-0.0697565113564119,0.351319208341136,-0.0504317776100242,0.393878437926084,-0.729628932661004,-0.310530392762432,-0.165358730697382,-0.0958565952804583,0.0273760040212183
"588",1310,1922.90534224841,38.1720908466516,2.9271788789858,-1.47867542504122,-0.462659026695676,0.637036219488424,0.680087542471527,-0.49025778142094,-0.279000797757117,0.591733932166333,0.433976236015336,-0.0892526174566962,0.468724910325391,0.0926411404229824,0.0220927402929586,-0.00988607545683804,0.216981524737626,0.875342392422918,-0.333871541701481,-0.0355340311872739
