"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2870",923,"wordcount","IB","HDD",12,20,1,32768,"None",128,"Local 1"
"4309",2084,"pagerank","ETH","SSD",12,10,1,65536,"None",0,"Local 1"
"309",2820,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
"321",2889,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"1092",4236,"dfsioe_read","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L"
"657",1326,"wordcount","ETH","RL1",8,10,1,65536,"BZIP2",32,"Azure L"
"3150",4500,"terasort","IB","HDD",12,50,3,32768,"None",64,"Local 1"
"4233",3503,"dfsioe_read","ETH","SSD",12,10,1,65536,"Snappy",0,"Local 1"
"2858",2057,"pagerank","IB","HDD",12,20,1,32768,"None",64,"Local 1"
"335",1271,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"2984",1064,"wordcount","IB","HDD",12,5,1,4096,"None",256,"Local 1"
"3673",3307,"sort","ETH","HDD",16,10,2,65536,"ZLIB",64,"Local 1"
"1506",1332,"wordcount","ETH","RL3",8,10,3,65536,"ZLIB",32,"Azure L"
"3093",4857,"terasort","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"2664",1592,"kmeans","ETH","HDD",12,10,3,4096,"None",128,"Local 1"
"3907",874,"terasort","IB","SSD",16,10,3,65536,"ZLIB",64,"Local 1"
"2945",1052,"wordcount","IB","HDD",12,10,1,32768,"None",256,"Local 1"
"659",1270,"dfsioe_write","ETH","RL1",8,10,1,65536,"BZIP2",64,"Azure L"
"305",1271,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"820",2568,"kmeans","ETH","RL2",10,10,3,65536,"None",256,"Azure L"
"3629",974,"terasort","IB","SSD",12,10,1,32768,"None",64,"Local 1"
"409",2534,"dfsioe_write","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L"
"4289",5470,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",0,"Local 1"
"729",1400,"wordcount","ETH","RL2",10,10,3,65536,"Snappy",256,"Azure L"
"779",4715,"dfsioe_write","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"3687",2141,"sort","ETH","HDD",24,10,1,65536,"None",64,"Local 1"
"2607",4356,"sort","ETH","HDD",12,20,3,131072,"None",32,"Local 1"
"2159",2470,"terasort","ETH","HDD",8,10,1,65536,"None",64,"Azure L"
"37",4028,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"2767",3275,"sort","IB","HDD",12,50,1,131072,"None",256,"Local 1"
"2081",2303,"terasort","ETH","RL3",8,10,1,65536,"ZLIB",128,"Azure L"
"2137",2170,"terasort","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"1791",3006,"dfsioe_write","ETH","RL3",8,10,1,65536,"BZIP2",64,"Azure L"
"2312",2912,"sort","ETH","HDD",12,10,1,65536,"Snappy",256,"Local 1"
