"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"888",2728,"pagerank","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"3624",980,"terasort","IB","SSD",12,10,1,4096,"None",32,"Local 1"
"671",1185,"dfsioe_write","ETH","RL1",8,10,1,65536,"ZLIB",128,"Azure L"
"2777",2709,"sort","IB","HDD",12,50,1,131072,"None",32,"Local 1"
"2358",7380,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"2589",1604,"kmeans","ETH","HDD",12,20,3,4096,"None",32,"Local 1"
"846",2742,"pagerank","ETH","RL2",8,10,3,65536,"Snappy",256,"Azure L"
"4177",577,"sort","ETH","SSD",12,10,1,65536,"None",128,"Local 1"
"3402",1102,"terasort","ETH","SSD",12,20,3,32768,"None",32,"Local 1"
"2465",2853,"sort","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"614",629,"sort","ETH","RL1",8,10,1,65536,"Snappy",128,"Azure L"
"2557",1037,"wordcount","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"4303",3193,"terasort","IB","HDD",12,10,1,65536,"None",0,"Local 1"
"3947",656,"kmeans","IB","HDD",24,10,2,65536,"ZLIB",64,"Local 1"
"4025",705,"wordcount","IB","HDD",12,10,2,65536,"None",64,"Local 1"
"640",2704,"kmeans","ETH","RL1",8,10,1,65536,"BZIP2",256,"Azure L"
"3036",1095,"bayes","ETH","SSD",12,50,3,65536,"None",64,"Local 1"
"3031",1090,"bayes","IB","HDD",12,5,1,32768,"None",32,"Local 1"
"3116",4868,"terasort","ETH","HDD",12,20,3,131072,"None",128,"Local 1"
"3656",4894,"sort","ETH","HDD",16,10,3,65536,"ZLIB",64,"Local 1"
"2769",1609,"kmeans","IB","HDD",12,50,1,131072,"None",256,"Local 1"
"3999",615,"wordcount","ETH","HDD",16,10,3,65536,"None",64,"Local 1"
"2382",2510,"sort","ETH","HDD",12,10,1,65536,"ZLIB",256,"Local 1"
"204",2801,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"2896",1003,"kmeans","IB","HDD",12,10,1,65536,"None",32,"Local 1"
"643",2613,"pagerank","ETH","RL1",8,10,1,65536,"BZIP2",128,"Azure L"
"1139",633,"sort","ETH","RL2",10,10,1,65536,"ZLIB",64,"Azure L"
"2722",4036,"sort","ETH","HDD",12,5,3,65536,"None",128,"Local 1"
"1437",2778,"dfsioe_read","ETH","RL3",8,10,3,65536,"Snappy",64,"Azure L"
"1090",2708,"kmeans","ETH","RL2",10,10,1,65536,"Snappy",32,"Azure L"
"295",2695,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
"2201",666,"wordcount","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1"
"3951",1205,"kmeans","IB","HDD",12,10,2,65536,"ZLIB",64,"Local 1"
"2092",5388,"terasort","ETH","R1",8,10,2,65536,"Snappy",64,"Azure L"
"3764",2615,"dfsioe_write","ETH","SSD",12,10,3,65536,"None",64,"Local 1"
"2011",2604,"terasort","ETH","RL2",10,10,1,65536,"ZLIB",32,"Azure L"
