"Exe.Time","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20"
"3",3090,1922.90435468864,70.157054645544,2.9695322459874,-3.64232778346883,-0.750069188622235,0.161250862974211,0.619079381284824,-0.457184309557422,0.251521967979787,0.262775692333855,-0.137284164711044,-0.0470165007622644,0.439488669960351,0.186076298874924,-0.802946579764628,0.0133530420924664,-0.311020242691824,-0.0857946243659005,-0.049743482756238,-0.0141703356098643
"4",6896,1922.90535331935,38.1578389808171,3.00769476872119,-3.41806439055646,-0.757902375219278,0.179229951150307,0.648537451511413,-0.458876656960414,0.200058566541534,0.18924433993291,-0.101487586139998,-0.0488374851198617,0.360177369317352,0.184207284765966,0.019495443800633,-0.00874773178559026,0.781693073786767,-0.392349074667011,-0.177762719371524,-0.0293498484308492
"7",2846,1922.90535331382,38.1579292574449,3.00800023148949,-3.41007250028472,-0.750471081146031,0.18103658683357,0.617353566988406,-0.446156086283214,0.253374963494044,0.261365923099425,-0.135658432442491,-0.044907416477098,0.437211091921046,0.184358581486558,-0.803182474850895,0.0135836058616136,-0.311175914816607,-0.0837978168143674,-0.0492549588236151,-0.0156998897951612
"9",2649,1922.91133624261,-153.823495079788,3.16464357317189,-0.19853878297546,1.36208085818655,0.347173061817864,-0.251886955595666,0.0217620299219028,-0.792035006168929,0.360850308446562,0.210701710654364,0.560368691431744,-0.0478772803954562,-0.535802281047499,-0.00853621417435316,0.0309721186196539,0.150003675989779,0.152791866310081,0.880345733276407,-0.0475394910108662
"16",2922,1922.90734144712,-25.8271704478989,3.00849430492885,-1.13363675683035,1.34922087303308,0.212717876083331,-0.238951642571979,-0.101786862934621,-0.790440124468937,0.423682998122538,0.167281910086534,0.528777247419772,-0.0236346166024574,-0.520526098109012,-0.00428130230467191,0.0298487654120855,0.763038426390578,-0.478750981936756,-0.225218527988303,0.0128733300914014
"21",2847,1922.90534419675,38.1710803282992,2.93155833392468,-1.59814732319857,1.35002465808067,0.173146428364614,-0.235500013979143,-0.123843309483037,-0.794146115497451,0.426502536591397,0.164030445549428,0.524559078849439,-0.0190794605238473,-0.51709066333228,-0.0038095121321375,0.029387637873791,0.763349770640144,-0.482744597039822,-0.226195575853549,0.0159324384619953
"32",3061,1922.90534449151,38.1712572488067,2.93383566015938,-1.59207048208012,1.36449221332933,0.228458718661711,-0.241532069817157,-0.0444073097233459,-0.803152979254471,0.369308923853138,0.200947317043047,0.547714185720745,-0.0342118121596258,-0.525495976717301,-0.00712084365674997,0.0295887360047705,0.150937708738476,0.140811021000883,0.877414589680669,-0.0383621658990844
"33",2919,1922.90534419675,38.1710803282992,2.93155833392468,-1.59814732319857,1.35002465808067,0.173146428364614,-0.235500013979143,-0.123843309483037,-0.794146115497451,0.426502536591397,0.164030445549428,0.524559078849439,-0.0190794605238473,-0.51709066333228,-0.0038095121321375,0.029387637873791,0.763349770640144,-0.482744597039822,-0.226195575853549,0.0159324384619953
"37",4028,1922.91133621686,-153.823548175879,3.16463852245882,-0.197419205958317,1.3531264705199,0.332995752082051,-0.245599023664071,0.0609316759173121,-0.796173412573582,0.396750163595422,0.254490969227455,-0.602116833562308,-0.429777594147806,0.167972921320127,0.00150327755062331,-0.00718159035354843,0.14940746567492,0.808219171442056,-0.373131621533805,-0.0405195988505347
"40",855,1922.91133599709,-153.823663648844,3.16257230356003,-0.195828423017252,1.34906446160423,0.286187908665376,-0.275157815094556,-0.0108202801583069,-0.736006556556164,0.501285857970475,0.185821127956719,-0.608528344762258,-0.364150522115538,0.127065020727763,0.382146005404941,-0.730124243749124,-0.37609171585817,-0.162499409936537,-0.095742192720718,0.0187153210201805
