"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2648",929,"wordcount","ETH","HDD",12,10,3,65536,"None",32,"Local 1"
"4066",693,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"4056",511,"wordcount","IB","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"2313",1199,"wordcount","ETH","HDD",12,10,1,65536,"Snappy",256,"Local 1"
"3418",585,"wordcount","ETH","SSD",12,10,3,65536,"None",128,"Local 1"
"4060",693,"wordcount","IB","SSD",12,10,2,65536,"ZLIB",64,"Local 1"
"4142",660,"wordcount","ETH","SSD",12,10,1,65536,"None",64,"Local 1"
"1368",1392,"wordcount","ETH","RL3",10,10,3,65536,"ZLIB",256,"Azure L"
"77",1305,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"1266",1325,"wordcount","ETH","RL2",8,10,1,65536,"ZLIB",32,"Azure L"
"2613",858,"wordcount","ETH","HDD",12,20,3,32768,"None",64,"Local 1"
"598",1290,"wordcount","ETH","RL1",10,10,1,65536,"None",32,"Azure L"
"425",1297,"wordcount","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L"
"3999",615,"wordcount","ETH","HDD",16,10,3,65536,"None",64,"Local 1"
"4178",587,"wordcount","ETH","SSD",12,10,1,65536,"None",128,"Local 1"
"1004",1292,"wordcount","ETH","RL2",10,10,2,65536,"BZIP2",128,"Azure L"
"1206",1330,"wordcount","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L"
"807",1286,"wordcount","ETH","RL2",10,10,3,65536,"ZLIB",32,"Azure L"
"1320",1269,"wordcount","ETH","RL3",10,10,3,65536,"Snappy",64,"Azure L"
"455",1306,"wordcount","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"1416",1284,"wordcount","ETH","RL3",10,10,3,65536,"None",32,"Azure L"
"4041",600,"wordcount","ETH","SSD",16,10,2,65536,"None",64,"Local 1"
"1482",1280,"wordcount","ETH","RL3",8,10,3,65536,"BZIP2",64,"Azure L"
"89",1288,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"3084",576,"wordcount","ETH","SSD",12,50,3,131072,"None",256,"Local 1"
"1711",1410,"wordcount","ETH","RL3",10,10,1,65536,"None",256,"Azure L"
"167",1266,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"149",1337,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"2550",873,"wordcount","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"2816",995,"wordcount","IB","HDD",12,20,1,65536,"None",32,"Local 1"
"569",1279,"wordcount","ETH","RL1",10,10,1,65536,"ZLIB",32,"Azure L"
"896",1331,"wordcount","ETH","RL2",8,10,3,65536,"BZIP2",32,"Azure L"
"41",1392,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"365",1271,"wordcount","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"4004",582,"wordcount","ETH","HDD",16,10,2,65536,"ZLIB",64,"Local 1"
"2187",669,"wordcount","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1"
"4000",701,"wordcount","ETH","HDD",12,10,3,65536,"ZLIB",64,"Local 1"
"551",1394,"wordcount","ETH","RL1",10,10,1,65536,"ZLIB",256,"Azure L"
"759",1398,"wordcount","ETH","RL2",10,10,3,65536,"BZIP2",256,"Azure L"
"1034",1291,"wordcount","ETH","RL2",10,10,2,65536,"ZLIB",128,"Azure L"
"4366",544,"wordcount","IB","SSD",12,10,1,4096,"None",0,"Local 1"
"932",1282,"wordcount","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L"
"4044",511,"wordcount","ETH","SSD",24,10,1,65536,"ZLIB",64,"Local 1"
"3301",589,"wordcount","ETH","SSD",12,50,3,32768,"None",128,"Local 1"
"12",1401,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"687",1329,"wordcount","ETH","RL1",8,10,1,65536,"ZLIB",32,"Azure L"
"2703",872,"wordcount","ETH","HDD",12,10,3,32768,"None",128,"Local 1"
"4028",630,"wordcount","IB","HDD",16,10,1,65536,"ZLIB",64,"Local 1"
"353",1270,"wordcount","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"842",1272,"wordcount","ETH","RL2",10,10,3,65536,"None",64,"Azure L"
"2411",1837,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"2900",903,"wordcount","IB","HDD",12,10,1,4096,"None",64,"Local 1"
"1101",1394,"wordcount","ETH","RL2",10,10,1,65536,"BZIP2",256,"Azure L"
"2334",990,"wordcount","ETH","HDD",12,10,1,65536,"Snappy",32,"Local 1"
"4046",820,"wordcount","ETH","SSD",16,10,1,65536,"ZLIB",64,"Local 1"
"71",1396,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"4040",577,"wordcount","ETH","SSD",16,10,2,65536,"ZLIB",64,"Local 1"
"4059",606,"wordcount","IB","SSD",16,10,2,65536,"None",64,"Local 1"
"3074",799,"wordcount","ETH","SSD",12,50,3,4096,"None",32,"Local 1"
"1723",1284,"wordcount","ETH","RL3",10,10,1,65536,"None",64,"Azure L"
"527",1300,"wordcount","ETH","RL1",10,10,1,65536,"BZIP2",128,"Azure L"
"1362",1267,"wordcount","ETH","RL3",10,10,3,65536,"BZIP2",64,"Azure L"
"1651",1410,"wordcount","ETH","RL3",10,10,1,65536,"BZIP2",256,"Azure L"
"2643",937,"wordcount","ETH","HDD",12,10,3,65536,"None",128,"Local 1"
