"pout","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20"
"1284",1260,1964.26253360782,-25.6205675583162,3.17087920491111,-2.99259703942175,-0.683258560403775,0.350887923999552,0.571410664786313,-0.479105230593402,0.309634496016913,0.148530338659059,-0.521211814909094,-0.352094625006662,-0.774539851912424,-0.181534414441705,0.49222233494078,-0.648339445373653,-0.287449911728481,-0.0600583580804314,-0.0723978606679599,0.00372980386197318
"3351",1110,-59475.7405267606,68.5805218727938,-5.57908566889685,-0.316002199758886,1.06943228379882,-0.829477993511088,0.46303157058212,0.127758364419233,0.660572865009324,-0.350760416872481,-0.0926881913969027,-0.0433286791428749,0.283517700484004,-0.213641567936416,-0.0470840306635473,-0.0497192189776333,0.113730092247573,0.137243567297948,0.211472164393067,0.910866834192524
"2704",1548,-30803.7374680249,-26.5577236684117,3.79121755141925,0.976852620922475,0.850962946331425,-1.10331926928549,-0.349800248066047,-0.791076037617597,0.456504447594032,-0.0382858317655969,0.0542821765410734,-0.0301153422730656,0.167404981415167,0.0438192184916862,-0.825157241335113,-0.131177477611393,-0.256174891694216,-0.0253343739128819,-0.0554313249965418,-0.14959709013944
"2616",2702,-30803.7339484356,-154.568971699985,-6.05032276117031,1.41871800186874,0.865875131127501,-0.817156669006377,-0.396396735999965,-0.77664380530174,0.367850640135907,0.0204215690887022,0.0628095777429876,-0.0377699104886192,0.271940889779506,-0.10846062639723,-0.0263530639581085,-0.0340720900355419,0.850403585261569,-0.278588988806468,-0.101993229524093,-0.171873453255105
"4376",860,1964.25646579663,102.274280271881,-87.0929618296612,-3.9053238292785,0.724974567145727,0.126668109435915,-0.111917587706382,0.781440261906821,-0.570393688021377,0.110950923664105,-0.0361901414158235,0.0390211257497339,-0.165788138391266,0.132486564306147,0.0261336333184046,0.0341385520114787,-0.0234558358332243,0.0809588255326116,0.0342041840847841,-0.0755307072240431
"3380",2007,-30803.7396058765,37.4262399522467,-6.27298292482405,0.0381174908010324,1.07039700454465,-0.809283274391263,0.46923829222182,0.109795329110382,0.629927530523996,-0.413829539951838,-0.13239209882089,-0.0557277228863378,0.221508965798954,-0.155050557228128,-0.0288725128751966,-0.0383357650844851,0.874133996741402,-0.329087409842431,-0.114429470898246,-0.128099459295198
"674",595,1964.2625361992,-25.6201378866492,3.18949686661275,-3.03417591100407,-0.541673054071954,0.941815384749823,-0.230777592912847,0.260002820685331,0.365044868449803,-0.210046201537872,0.897201627520437,-0.0579270983869881,-0.322434793211657,-0.261945946914988,0.290692023123622,0.746088869870788,-0.292747259641738,-0.150589217462207,-0.134815907856176,0.0288071032810907
"3311",2021,1964.26036874711,38.3918679223401,-7.10961614572838,0.194143356372142,1.03792759509631,-0.878513307027291,0.489351198184994,0.113392142417338,0.629977897024669,-0.418516486456555,-0.134112859656567,-0.055645627994829,0.217976659770017,-0.154145469339211,-0.0287967063970099,-0.0400487112398004,0.873917814516667,-0.33260420123871,-0.11699664214842,-0.126331996414133
"4101",1115,1964.25967747586,70.4066463915542,2.8483560398474,0.503340403314056,-0.730591135743575,-0.231694712903122,0.932440199113829,0.0192445974919412,0.86075541081547,-0.352040759434009,-0.0447854546475696,-0.0524823396241556,0.292497318648477,-0.247902465546223,-0.0517801938502851,-0.0594144601923423,0.0986184317456628,0.101504465520984,0.190662165512412,0.91295097966119
"370",723,1964.26630736121,-153.61752896338,3.32844825858224,-2.16488390361003,0.29459927881261,0.51185717930161,-0.127421770908663,-0.00296403742123511,-0.372973628783639,-0.629849424102323,0.304996481546318,0.585369915902612,0.0898190873665681,-0.748460519898955,0.179902191706885,0.599267069922832,-0.336272465040767,-0.14546456627466,-0.137478435506509,0.00466375878483646
