"pout","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20"
"2037",3056,1964.26629307434,-153.603286089082,3.21707297469972,-0.119449347942845,0.341712805802224,0.100852777685545,0.853493259872942,-0.306721755492415,-0.238509132694036,0.627591296847445,0.0373776231236534,0.450793432424896,-0.0358777659041464,0.858170810151741,0.163237702578928,0.16869632143559,-0.0821656829852699,-0.0287755588915853,0.00797448672194538,0.0701396183126578
"3825",481,1964.26059814864,38.4363881298645,2.71334646240441,4.70441540329038,0.198173790802143,-0.0594244164547739,-0.479333433836101,1.33728453202719,0.269818119132533,-0.219664614221517,-0.0129507330799817,0.0282886992406606,-0.216166176123942,-0.176808864359043,0.297369555942195,0.759396455722892,-0.220622018354139,-0.200664622674087,-0.140457090604011,-0.0239852933474321
"1143",4246,1964.25969647776,70.3915535932003,2.99450150717408,-1.7506378173172,-0.341446434863175,1.14654075460698,-0.166274391691285,0.24704715377887,0.439315565422722,0.648853979294145,-0.140819231727405,-0.326482979242462,-0.581225787177548,-0.290680477138713,-0.0362356284794455,-0.03179171085834,0.10070844449275,-0.0145904796981293,0.925027681344123,-0.0895982414426663
"1378",2924,1964.26063900108,38.3913155731838,3.01895476744059,-1.58266900908585,1.33918888127467,0.172991033239145,-0.552820224584554,0.303676024199625,0.381143849276366,0.294923578927054,0.00368972880898859,0.376919861364704,-0.0983972035043409,0.813733392115468,0.163263318595237,0.166942385643124,0.838586153802896,-0.436020409279314,-0.130271677875847,0.0465537425136713
"3184",5064,-30803.7374709927,-26.557034322896,3.77096176315151,1.09322035911459,0.330290004097179,-1.73028074001777,-0.288807437504244,-0.00881931403913598,-0.748611070836546,0.585670060178889,0.21385087819303,0.0705691857610273,-0.0162119462084167,0.124290414316404,0.0195991335295221,0.0261273296307468,-0.0521038399293518,0.00749486019904473,-0.0156147814281096,-0.0807127587867567
"4298",1826,1964.25873281182,102.406078647224,2.8053478827054,0.374008638969313,-1.41077256787685,-0.854409167577481,-0.300635308244914,-0.281685915058072,-0.18802766047784,-0.0596774552206874,-0.0487201681262401,-0.0158365693112316,-0.219578135980961,0.084160362489399,0.0257162649629314,0.0289898018894716,0.0475346057050359,0.0781995237090095,0.0970774335806476,-0.0140992618746581
"987",2743,1964.25969604366,70.3906839512724,2.98710003486745,-1.80139354374939,0.490449660752207,0.60142236220201,-0.112930927242465,-0.120506713558294,-0.185108404132595,0.100248718836827,-0.796144825658412,0.319301072270092,-0.290557631834572,-0.572362799669293,-0.931320624254254,-0.264794065961795,-0.299577769048921,-0.163554755907905,-0.131497921496063,0.0319213145256963
"4121",1247,1964.26062094346,38.407180773343,2.89179069889972,0.728925408298359,-0.894626401663916,-0.276121080196624,0.0240607599498389,-0.938269419370902,0.645024384804209,-0.0447195446324713,0.0940885922648674,-0.0452732868012962,0.163902171603108,0.0164256717088147,-0.828080671816787,-0.136848804756296,-0.269700389962976,-0.0479626636278734,-0.0662169863922105,-0.150428838814679
"1537",2915,1964.26629609971,-153.603227417983,3.24178511242777,-0.189068378228061,0.474355282733672,0.756924611564414,-0.0792518730978262,0.010545921825729,-0.198767245246254,-0.0515335348069879,-0.492007391026986,1.01612783120433,0.328726834287812,0.249511262134204,0.0345322721331279,0.00514107884808791,0.0310993912619445,-0.0214771140932162,0.965496290997054,-0.113355253462259
"1677",2760,1964.26629636644,-153.60235438693,3.24876508285378,-0.139190540344023,-0.365299427669289,1.27891553097696,-0.199282750484881,0.327369034941802,0.556838692703498,0.359608087066893,0.074577535005393,0.406400803446639,-0.0570689238541135,0.771284964100094,0.152535692601837,0.156388284554732,0.23389785591017,0.839202667920456,-0.140174412613833,-0.0132098086020761
"331",2590,1964.26063947286,38.391941453276,3.02754629894163,-1.55755272667018,0.525592561954647,0.742450625345007,-0.360850583274156,0.299764491684953,0.094802700576069,-0.132659763257479,0.884583855121953,-0.064602272412313,-0.310187010124407,0.00669096353905115,0.0221495888532314,0.0182660079155604,0.249820368030968,0.848440829849628,-0.187933323754697,-0.00263015695207156
"2124",2576,1964.26064962087,38.3769823996336,3.09884154828667,-3.56127072056676,1.13783859574396,-0.180112278279226,0.16403260812759,0.144786638211449,-0.953061780206081,0.119389987793051,0.635467030941833,0.630833975327493,0.309577052080766,-0.505012697726358,-0.107474142133584,-0.142843139518892,-0.116182423618015,-0.104948978024576,-0.0925327255269494,0.0604363746883112
"772",2632,1964.26063886488,38.3909909440249,3.0184490354357,-1.59850476727931,1.3402769266053,0.145279800081083,-0.284319031689948,-0.00764593463539526,-0.274319404686414,0.0911940334155407,-0.788844402927398,-0.891221358282228,0.0314912545354586,0.0515919318690312,-0.826519984536957,-0.104394975798169,-0.340622588401253,-0.151836652454444,-0.133393224164697,0.0328904701293577
"133",4424,1964.26253619251,-25.621333808219,3.18047870537331,-3.11520948729647,1.15831332263879,0.0115960818004832,-0.264652588588267,0.0896818017118188,-0.573252785636751,-0.54912194745544,0.309248190889022,0.573487210080415,0.135866740741169,-0.507222216287365,-0.0949671309118281,-0.135078208268963,0.197642759126611,0.861350163949513,-0.183858616539963,-0.0450367639346264
"381",2677,1964.26065024462,38.3772482497432,3.11046365274664,-3.55365328587955,0.289069442858925,0.389879153004339,-0.0901294315805096,-0.0831911617166982,-0.459013334515562,-0.599798470712379,0.312305904042356,0.535048109695263,0.110174085273917,-0.512490196352244,-0.0913890602049489,-0.133519954889506,0.779763345370161,-0.429528350219513,-0.188096681991607,0.00101567498664575
