"pout","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20"
"3",3090,1964.25970458354,70.3770597757736,3.05811135656003,-3.65715258916345,-0.747117256062936,0.173050572995911,0.5652574868307,-0.510192441066578,0.327975137399845,-0.207793342952525,-0.0633410353235646,-0.0333834525378777,-0.472251615807267,0.3294315435576,-0.742623752059855,-0.0461075838904962,-0.294141673775717,-0.0717551197681106,-0.0635432735433171,-0.00999908013899099
"6",1308,1964.26064739983,38.3779136580368,3.09432696077668,-3.4269054834469,-0.747876282323462,0.192029313436479,0.561709385485272,-0.497056599781758,0.328810636284676,-0.197882009838352,-0.0664822431452699,-0.0496023485758615,-0.440866800170712,0.195885408561494,0.557397561194576,-0.584987848425182,-0.305389866593013,-0.0726957301769316,-0.0647436735092418,-0.0108350604662922
"8",4443,1964.26629632068,-153.603736083353,3.23906503668521,-0.227985208575692,1.3607071002954,0.352368201712315,-0.258226624690439,0.058799159265259,-0.64115009994764,-0.547712090271606,0.295708639007985,0.58266671354197,0.106521550413149,-0.481328882608507,-0.0893975853768576,-0.12942958523941,0.205551237608185,0.85728314118255,-0.191113869968283,-0.0295770142654745
"10",2836,1964.26629604331,-153.60393549117,3.23673047275319,-0.23431471271093,1.34744429251713,0.302375052961484,-0.260943450419272,-0.0276779437896913,-0.620112585826337,-0.595139782572306,0.279667728811659,0.55383361869903,0.0830414868171228,-0.473200181919287,-0.0846985675967239,-0.126329037968667,0.793954519361872,-0.422180793754432,-0.191501699628806,0.016373274025375
"14",4063,1964.26252494907,-25.6071631635561,3.09393034513702,-1.1485362299766,1.36302268938302,0.272616638081271,-0.256762897849504,0.0147961078915154,-0.645281493367106,-0.557213881372255,0.289048779287682,0.574722770212604,0.0976121904944868,-0.478318336281325,-0.0878828997501549,-0.12768199882538,0.207039087655692,0.8498478208918,-0.190077832841776,-0.0239699886311772
"20",2869,1964.26063920613,38.3910684222232,3.02056632851561,-1.60743056455422,1.36524727235761,0.220459705932463,-0.240819705887101,-0.0170586214311198,-0.660803237373684,-0.54380138513136,0.317998929089573,0.545124755345383,0.0756087480175188,-0.515082738426839,-0.0958538316154782,-0.132981197791084,0.047021903382742,-0.0122389521640446,0.91773737985619,-0.102775601812255
"22",766,1964.26063904507,38.3910060550966,3.01931100394422,-1.60719839464414,1.35992089573366,0.185098388365624,-0.293844609224619,-0.0794599736154594,-0.546467060352812,-0.653696109264194,0.252378727154712,0.580323594918278,0.0359584091537891,-0.700138866484451,0.191136741195218,0.611700746085761,-0.317617740906536,-0.16042297068183,-0.137775341764187,0.0368424347264575
"24",2618,1964.26063898163,38.3910169372291,3.01934815578768,-1.60692727697954,1.35855544600081,0.185051082606746,-0.292295790283401,-0.0776425792879744,-0.543077316276092,-0.663101631923579,0.261538340852988,0.555555735897703,-0.0370676172990682,-0.313261034300634,-0.881663681600251,-0.220909339360613,-0.311226954807406,-0.158892559270618,-0.137161732460171,0.037280273018065
"26",3062,1964.25969636323,70.3902116521723,2.98428265562856,-1.83756831990445,1.36582616962951,0.200521815024702,-0.240453774176867,-0.0280593842745558,-0.66183608572855,-0.546176832906522,0.316333964159497,0.543138769513041,0.0733814080378534,-0.514330101845044,-0.0954751602088025,-0.132544301187576,0.0473938658946187,-0.0140977822367321,0.917996389137817,-0.10137384540368
"31",4260,1964.26063926326,38.3911232963421,3.02136299936292,-1.60881174067705,1.36418048392683,0.23274085626575,-0.256031034429036,-0.00720541779535647,-0.647347190076839,-0.561964776922579,0.285718849427531,0.57075079854792,0.0931575105351559,-0.476813063117734,-0.0871255569368036,-0.126808205618366,0.207783012679446,0.846130160746425,-0.189559814278522,-0.0211664758140286
