"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
22145,2602,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22144,4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22143,2926,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22142,2854,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22140,1288,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22139,2750,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22138,4497,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22137,2983,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22136,2907,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22134,1277,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22133,1751,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22132,4399,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22131,2805,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22130,2804,"pagerank","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22128,1396,"wordcount","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22127,2596,"kmeans","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22126,4156,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
22125,2740,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
22124,2925,"pagerank","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
22122,1295,"wordcount","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
22121,2555,"kmeans","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
22120,4249,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22119,2826,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22118,2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22116,1282,"wordcount","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22115,2604,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22114,4452,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
22113,3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
22112,2785,"pagerank","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
22110,1282,"wordcount","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
22109,2749,"kmeans","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
22108,4203,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22107,2810,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22106,2855,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22104,1270,"wordcount","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22103,2618,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
22102,4065,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
22101,2854,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
22100,2779,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
22098,1253,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
22097,2727,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
22096,4424,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
22095,2895,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
22094,2687,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
22092,1259,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
22091,2196,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
22090,4117,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22089,2796,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22088,2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22086,1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22085,2791,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22084,4414,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
22083,3001,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
22082,2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
22080,1337,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
22079,3015,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
22078,4466,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22077,3045,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22076,2686,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22074,1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
22073,1866,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
