"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
10955,3091,"dfsioe_read","ETH","RL3",10,10,2,65536,"Snappy",64,"Azure L",3129.06594346645
22217,1401,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",1299.85546784093
217,1114,"kmeans","IB","SSD",12,10,1,65536,"None",128,"Local 1",1087.08772341256
630,871,"dfsioe_read","ETH","SSD",16,10,2,65536,"None",64,"Local 1",1264.97732268077
1255,4149,"terasort","IB","HDD",12,20,3,4096,"None",256,"Local 1",4736.77751228185
813,954,"terasort","IB","SSD",12,50,1,131072,"None",128,"Local 1",1021.64829156867
308,2145,"pagerank","IB","HDD",12,10,1,65536,"None",32,"Local 1",2107.25138795484
4264,2759,"terasort","ETH","RL2",8,10,2,65536,"BZIP2",64,"Azure L",2681.34737178327
232,585,"wordcount","IB","HDD",12,10,1,65536,"None",128,"Local 1",960.076531684961
21851,2648,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L",2611.12041538585
22131,2805,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",256,"Azure L",3074.28718456215
877,940,"terasort","IB","SSD",12,50,3,131072,"None",256,"Local 1",1010.32235051971
4321,2553,"terasort","ETH","RL1",8,10,1,65536,"None",128,"Azure L",2834.50333791814
18392,4038,"dfsioe_read","ETH","RL2",8,10,1,65536,"Snappy",128,"Azure L",3715.66091218995
1873,984,"wordcount","IB","HDD",12,10,1,65536,"ZLIB",32,"Local 1",875.671813395643
303,447,"dfsioe_write","ETH","SSD",12,10,1,65536,"None",32,"Local 1",826.541637947464
1977,1462,"kmeans","ETH","HDD",12,10,1,65536,"None",32,"Local 1",1297.68673039998
10676,4366,"dfsioe_write","ETH","RL3",8,10,1,65536,"None",256,"Azure L",2738.35324554825
20229,1395,"dfsioe_write","ETH","RL1",10,10,1,65536,"BZIP2",64,"Azure L",1572.89988807134
18872,2594,"pagerank","ETH","RL1",8,10,1,65536,"None",64,"Azure L",2790.50414746423
4311,2667,"terasort","ETH","RL2",10,10,3,65536,"BZIP2",32,"Azure L",2632.028944811
1330,576,"wordcount","ETH","SSD",12,50,3,131072,"None",256,"Local 1",621.712963878856
18755,4587,"dfsioe_write","ETH","RL2",10,10,3,65536,"None",64,"Azure L",4334.73241571763
18385,2717,"pagerank","ETH","RL2",8,10,1,65536,"Snappy",64,"Azure L",2572.58357917519
142,556,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1",778.155849157213
800,1025,"terasort","IB","SSD",12,20,1,4096,"None",32,"Local 1",1024.13274503618
1595,985,"wordcount","IB","HDD",12,20,1,4096,"None",64,"Local 1",897.033120741259
296,786,"wordcount","ETH","SSD",12,10,1,65536,"None",32,"Local 1",675.107512404548
18645,2692,"pagerank","ETH","RL2",8,10,3,65536,"None",64,"Azure L",2966.34887427491
1660,2188,"pagerank","IB","HDD",12,50,1,4096,"None",32,"Local 1",2107.25138795484
20318,3193,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",3146.36826150579
1415,806,"wordcount","IB","HDD",12,5,1,131072,"None",64,"Local 1",891.049011968048
22079,3015,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L",2747.31567104428
21860,2685,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L",2692.11899201706
31,684,"terasort","IB","SSD",24,100,3,65536,"None",0,"Local 1",710.627078862502
252,1007,"terasort","IB","SSD",12,10,1,65536,"None",64,"Local 1",1035.81476959945
1399,1232,"kmeans","IB","HDD",12,5,1,131072,"None",32,"Local 1",1347.32523980975
21852,1245,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L",1296.2460898596
22213,2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L",2935.84805491503
1194,3131,"terasort","IB","HDD",24,10,1,65536,"None",64,"Local 1",3705.2885513895
1005,2007,"pagerank","ETH","SSD",12,10,3,65536,"None",64,"Local 1",2102.77051251126
10880,2567,"dfsioe_write","ETH","RL3",10,10,1,65536,"Snappy",128,"Azure L",2782.27835815665
170,435,"dfsioe_write","ETH","SSD",12,10,1,65536,"Snappy",0,"Local 1",823.069699481366
18724,2798,"dfsioe_read","ETH","RL2",8,10,3,65536,"Snappy",64,"Azure L",3001.06939597623
229,1130,"bayes","ETH","SSD",12,10,1,65536,"None",128,"Local 1",1082.77250216149
194,3345,"dfsioe_read","ETH","SSD",12,10,1,65536,"None",256,"Local 1",1386.69875860725
74,2738,"terasort","ETH","HDD",24,5,1,65536,"None",0,"Local 1",3601.20212150707
321,1452,"dfsioe_write","ETH","HDD",12,10,1,65536,"None",32,"Local 1",1428.60290222297
21,876,"terasort","IB","SSD",12,100,2,65536,"None",0,"Local 1",1020.9542279792
18622,2724,"dfsioe_read","ETH","RL2",10,10,2,65536,"Snappy",128,"Azure L",3095.49990967283
21940,2596,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",2555.29774132368
20293,2701,"pagerank","ETH","RL1",8,10,2,65536,"None",128,"Azure L",2888.96419401509
2045,6219,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",6801.71741566665
18761,4872,"dfsioe_write","ETH","RL2",10,10,3,65536,"None",32,"Azure L",4348.20381888706
11004,2782,"kmeans","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L",2854.4415075292
18598,2756,"dfsioe_read","ETH","RL2",10,10,2,65536,"BZIP2",256,"Azure L",3005.78915072716
750,3531,"dfsioe_write","ETH","HDD",16,10,3,65536,"None",64,"Local 1",3937.26306587925
22040,2721,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L",2790.57903856792
108,3457,"terasort","ETH","HDD",12,10,1,65536,"None",0,"Local 1",3791.16209241661
1157,4509,"terasort","IB","HDD",12,20,1,32768,"None",32,"Local 1",3802.89727776454
10942,2840,"pagerank","ETH","RL3",10,10,2,65536,"Snappy",64,"Azure L",2902.84251082753
2207,376,"dfsioe_write","IB","SSD",12,10,1,65536,"BZIP2",128,"Local 1",533.403770592175
22138,4497,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",4045.90190530364
4333,2866,"terasort","ETH","RL1",8,10,1,65536,"Snappy",128,"Azure L",2907.24363485158
4379,3196,"terasort","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L",3042.19801091322
10869,2606,"kmeans","ETH","RL3",10,10,1,65536,"Snappy",64,"Azure L",2501.98521929862
617,390,"dfsioe_write","ETH","SSD",16,10,1,65536,"ZLIB",64,"Local 1",796.480454249808
1792,1565,"kmeans","ETH","HDD",12,20,3,32768,"None",128,"Local 1",1660.59189926902
1727,1578,"kmeans","ETH","HDD",12,10,3,131072,"None",32,"Local 1",1514.99083788386
1552,2190,"pagerank","IB","HDD",12,20,1,32768,"None",256,"Local 1",2190.89480922346
524,3854,"terasort","IB","HDD",24,10,1,65536,"None",64,"Local 1",3705.2885513895
2040,1296,"kmeans","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",1292.33394843302
22149,2929,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",3114.29290256524
1058,2193,"pagerank","ETH","SSD",12,20,3,4096,"None",32,"Local 1",2174.73936256688
336,660,"wordcount","IB","SSD",12,10,1,65536,"None",64,"Local 1",660.505466885433
1274,4124,"terasort","IB","HDD",12,50,3,65536,"None",128,"Local 1",4313.62849468617
4296,2756,"terasort","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L",2644.57650427887
1289,4838,"terasort","ETH","HDD",12,5,1,65536,"None",32,"Local 1",3883.51333695111
1248,4967,"terasort","IB","HDD",12,20,3,32768,"None",64,"Local 1",4343.90216344802
18753,2862,"pagerank","ETH","RL2",10,10,3,65536,"None",64,"Azure L",2961.50336337143
1638,1012,"wordcount","IB","HDD",12,50,1,131072,"None",32,"Local 1",933.023386274356
18411,1400,"dfsioe_write","ETH","RL2",10,10,1,65536,"None",32,"Azure L",1662.211793443
1107,1088,"bayes","ETH","SSD",12,50,3,32768,"None",32,"Local 1",1036.78281819592
22044,1277,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L",1299.64131224954
1433,1186,"bayes","IB","HDD",12,5,1,4096,"None",256,"Local 1",1242.11690310811
549,3843,"terasort","ETH","HDD",24,10,2,65536,"ZLIB",64,"Local 1",3943.05138182841
900,1070,"terasort","ETH","SSD",12,5,1,65536,"None",128,"Local 1",1074.39088584726
2082,1454,"kmeans","ETH","HDD",12,10,1,65536,"Snappy",32,"Local 1",1289.28078663669
2088,1355,"dfsioe_write","ETH","HDD",12,10,1,65536,"Snappy",32,"Local 1",1446.90920314607
18399,1195,"dfsioe_write","ETH","RL2",8,10,1,65536,"Snappy",256,"Azure L",1432.08950800173
18563,2408,"dfsioe_write","ETH","RL2",10,10,2,65536,"ZLIB",128,"Azure L",2638.8671078527
20344,2790,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",2662.9985863432
21890,2836,"pagerank","ETH","RL1",10,10,2,65536,"None",256,"Azure L",2883.83766120868
339,612,"wordcount","IB","SSD",16,10,1,65536,"None",64,"Local 1",584.703473268775
18869,2771,"kmeans","ETH","RL1",8,10,1,65536,"None",64,"Azure L",2705.96834524705
220,1463,"hivebench_agregation","IB","SSD",12,10,1,65536,"None",128,"Local 1",1087.08772341256
373,663,"wordcount","IB","HDD",12,10,1,65536,"None",64,"Local 1",893.043714892452
11046,2700,"kmeans","ETH","RL3",8,10,3,65536,"BZIP2",256,"Azure L",2615.90823909505
238,2261,"hivebench_agregation","IB","HDD",12,10,1,65536,"None",128,"Local 1",1336.7895862448
786,1007,"terasort","IB","SSD",12,10,1,4096,"None",256,"Local 1",1016.8034826744
1037,1011,"terasort","ETH","SSD",12,20,3,131072,"None",128,"Local 1",1042.66085905136
272,2087,"pagerank","IB","HDD",12,10,1,65536,"None",64,"Local 1",2112.14744412613
18244,2575,"kmeans","ETH","RL3",10,10,3,65536,"BZIP2",256,"Azure L",2463.10670487138
20237,1400,"wordcount","ETH","RL1",10,10,1,65536,"BZIP2",256,"Azure L",1288.75105752347
1350,577,"wordcount","ETH","SSD",12,50,3,4096,"None",256,"Local 1",621.712963878856
4238,2776,"terasort","ETH","RL2",8,10,1,65536,"Snappy",256,"Azure L",2709.04242307087
1482,2066,"pagerank","IB","HDD",12,10,1,131072,"None",32,"Local 1",2107.25138795484
2043,2061,"pagerank","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",2027.86811596798
4299,2736,"terasort","ETH","RL2",8,10,3,65536,"Snappy",32,"Azure L",2646.08914031501
10979,2752,"dfsioe_read","ETH","RL3",8,10,3,65536,"None",32,"Azure L",2987.26226949263
1299,4886,"terasort","ETH","HDD",12,20,3,131072,"None",256,"Local 1",4736.77751228185
1527,2216,"pagerank","IB","HDD",12,10,1,65536,"None",128,"Local 1",2121.9395564687
18588,2528,"kmeans","ETH","RL2",10,10,2,65536,"BZIP2",128,"Azure L",2450.44478827349
648,2516,"dfsioe_write","ETH","SSD",16,10,3,65536,"None",64,"Local 1",1377.02800920482
1692,1600,"kmeans","ETH","HDD",12,5,3,65536,"None",128,"Local 1",1675.90531730162
1971,966,"wordcount","ETH","HDD",12,10,1,65536,"None",64,"Local 1",893.043714892452
18804,1392,"wordcount","ETH","RL2",10,10,3,65536,"ZLIB",256,"Azure L",1293.89478565244
4148,5443,"terasort","ETH","R2",8,10,2,65536,"ZLIB",64,"Azure L",5433.37313226691
22095,2895,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L",3093.8688326118
20270,3935,"dfsioe_read","ETH","RL1",10,10,1,65536,"Snappy",256,"Azure L",3677.07786946912
970,1028,"terasort","ETH","SSD",12,10,3,131072,"None",32,"Local 1",1072.68236959181
4156,6691,"terasort","ETH","R1",8,10,1,65536,"ZLIB",64,"Azure L",6342.30729073789
162,5931,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",0,"Local 1",6677.40850491381
20369,1336,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L",1293.01061570641
10737,2828,"kmeans","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L",2654.78675352229
2174,578,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",256,"Local 1",588.920603548579
18830,2955,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",128,"Azure L",2915.05371052693
21957,3195,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L",3147.64802548119
1457,2016,"pagerank","IB","HDD",12,5,1,65536,"None",64,"Local 1",2112.14744412613
20353,2749,"pagerank","ETH","RL1",8,10,2,65536,"BZIP2",128,"Azure L",2692.11899201706
661,2653,"dfsioe_read","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1",5439.61547904617
18425,1396,"wordcount","ETH","RL2",10,10,1,65536,"None",256,"Azure L",1285.74461270768
20203,2895,"pagerank","ETH","RL1",10,10,1,65536,"ZLIB",128,"Azure L",2738.92796181333
1458,1111,"bayes","IB","HDD",12,5,1,65536,"None",64,"Local 1",1127.92871454204
1025,1009,"terasort","ETH","SSD",12,20,3,32768,"None",64,"Local 1",1044.31716136303
312,7525,"dfsioe_read","IB","HDD",12,10,1,65536,"None",32,"Local 1",5914.445665808
2055,996,"wordcount","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",927.052169341047
2010,7558,"dfsioe_read","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1",5439.61547904617
18580,3074,"dfsioe_read","ETH","RL2",10,10,2,65536,"BZIP2",32,"Azure L",3162.78297888209
333,791,"terasort","IB","SSD",24,10,1,65536,"None",64,"Local 1",790.551669580409
18663,2671,"pagerank","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L",2769.50367227689
619,1450,"dfsioe_read","ETH","SSD",24,10,1,65536,"None",64,"Local 1",1436.41300399143
1003,664,"wordcount","ETH","SSD",12,10,3,65536,"None",64,"Local 1",671.6098772029
