"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
4407,3331,"terasort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",3021.64672462462
10893,1343,"wordcount","ETH","RL3",8,10,2,65536,"None",32,"Azure L",1300.126383946
594,649,"dfsioe_write","IB","SSD",12,10,3,65536,"ZLIB",64,"Local 1",777.672062217565
1273,3670,"terasort","IB","HDD",12,50,3,65536,"None",32,"Local 1",4117.19082026924
1090,1013,"terasort","ETH","SSD",12,20,3,65536,"None",256,"Local 1",1039.34825442802
958,1084,"terasort","ETH","SSD",12,5,3,4096,"None",32,"Local 1",1031.22249184145
2129,1433,"dfsioe_read","IB","SSD",12,10,1,65536,"None",64,"Local 1",1346.6539400035
847,1026,"terasort","IB","SSD",12,10,3,4096,"None",32,"Local 1",992.996357008468
4204,2913,"terasort","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L",2596.54886670192
18255,4745,"dfsioe_write","ETH","RL3",10,10,3,65536,"Snappy",64,"Azure L",4509.09066124765
18237,4497,"dfsioe_write","ETH","RL3",10,10,3,65536,"BZIP2",64,"Azure L",4509.09066124765
22127,2596,"kmeans","ETH","RL1",10,10,3,65536,"None",256,"Azure L",2514.28829659613
895,1202,"terasort","ETH","SSD",12,5,1,4096,"None",32,"Local 1",1053.11226686827
1311,5134,"terasort","ETH","HDD",12,50,3,32768,"None",256,"Local 1",4575.54539390872
1702,1482,"kmeans","ETH","HDD",12,5,3,65536,"None",64,"Local 1",1518.0439996802
18794,2876,"pagerank","ETH","RL2",10,10,3,65536,"ZLIB",64,"Azure L",2915.05371052693
391,698,"wordcount","ETH","HDD",12,10,1,65536,"None",64,"Local 1",893.043714892452
1462,2087,"pagerank","IB","HDD",12,10,1,32768,"None",32,"Local 1",2107.25138795484
1212,4950,"terasort","IB","HDD",12,50,1,65536,"None",64,"Local 1",3707.14438419705
2096,1397,"kmeans","ETH","HDD",12,10,1,65536,"Snappy",128,"Local 1",1278.74513307174
100,2083,"pagerank","IB","HDD",12,10,1,65536,"None",0,"Local 1",2102.35533178355
18307,2683,"pagerank","ETH","RL2",8,10,1,65536,"None",256,"Azure L",2769.42878117321
1479,1462,"kmeans","IB","HDD",12,10,1,131072,"None",32,"Local 1",1347.32523980975
216,987,"terasort","IB","SSD",12,10,1,65536,"None",128,"Local 1",1036.16475101428
18203,1273,"wordcount","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L",1297.54605040143
1962,1327,"dfsioe_write","IB","HDD",12,10,1,65536,"Snappy",128,"Local 1",1554.33079868649
1605,2031,"pagerank","IB","HDD",12,20,1,65536,"None",128,"Local 1",2121.9395564687
18380,3788,"dfsioe_read","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L",3807.03815184541
2225,1967,"pagerank","IB","SSD",12,10,1,65536,"Snappy",32,"Local 1",1918.0716079571
1449,1355,"kmeans","IB","HDD",12,5,1,65536,"None",256,"Local 1",1400.87375998699
60,790,"terasort","IB","SSD",24,10,1,1024,"None",0,"Local 1",617.617009818954
18880,1361,"dfsioe_write","ETH","RL1",8,10,1,65536,"None",32,"Azure L",1589.92062795753
20147,1243,"wordcount","ETH","RL1",8,10,1,65536,"Snappy",256,"Azure L",1295.00785023846
498,811,"terasort","IB","SSD",16,10,3,65536,"None",64,"Local 1",876.841247638815
20242,2574,"kmeans","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L",2451.81905289712
4343,2817,"terasort","ETH","RL1",10,10,1,65536,"BZIP2",32,"Azure L",3071.64237439916
1558,1096,"bayes","IB","HDD",12,20,1,32768,"None",64,"Local 1",1127.92871454204
4474,2429,"terasort","ETH","HDD",8,10,1,65536,"None",64,"Azure L",3994.39787224069
21976,2602,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L",2583.6246935577
1524,1310,"kmeans","IB","HDD",12,10,1,65536,"None",128,"Local 1",1336.7895862448
22121,2555,"kmeans","ETH","RL1",10,10,3,65536,"None",128,"Azure L",2618.04463851083
644,541,"dfsioe_read","ETH","SSD",12,10,3,65536,"ZLIB",64,"Local 1",1042.25520505804
10820,3261,"dfsioe_write","ETH","RL3",10,10,1,65536,"ZLIB",128,"Azure L",2782.27835815665
18672,2818,"kmeans","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L",2796.40124823903
1987,2065,"pagerank","ETH","HDD",12,10,1,65536,"None",64,"Local 1",2035.39688900604
359,508,"wordcount","ETH","SSD",24,10,1,65536,"None",64,"Local 1",448.317643660785
