ID,Benchmark,Exe.Time,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,Cl.Name,Datanodes,Headnodes,VM.OS,VM.Cores,VM.RAM,Provider,VM.Size,Service.Type,Bench.Type
81515,prep_terasort,217.000,ETH,HD3,14,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81516,terasort,690.000,ETH,HD3,14,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81517,prep_terasort,102.000,ETH,RR3,8,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81518,terasort,1171.000,ETH,RR3,8,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81519,prep_terasort,340.000,ETH,HDD,6,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81520,terasort,1150.000,ETH,HDD,6,10,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81521,prep_terasort,406.000,ETH,HDD,2,13,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81522,terasort,2060.000,ETH,HDD,2,13,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81523,prep_terasort,102.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81524,terasort,560.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81525,prep_terasort,217.000,ETH,HD3,15,12,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
